name,NE_name,r,x,b,length,Comment,geometry,bus0,bus1,EIC_Code,TSO,CORE-TSO_bus0,CORE-TSO_bus1,v_nom,Maximum Current Imax (A) Period 1,Maximum Current Imax (A) Period 2,Maximum Current Imax (A) Period 3,Maximum Current Imax (A) Period 4,Maximum Current Imax (A) Period 5,Maximum Current Imax (A) Period 6,Maximum Current Imax (A) Fixed,Dynamic line rating (DLR) DLRmin(A),Dynamic line rating (DLR) DLRmax(A),s_nom,tie_line
1504,LIT 225kV N0 1 BOISSE (LA) - GENISSIAT-POSTE,6.206,27.41,0.000208858,68.301,,"LINESTRING (5.023123495057105 45.838444542938426, 5.80461320573897 46.055891422281526)",24025291T,83293593T,17T0000000181063,RTE,BOISSE (LA),GENISSIAT-POSTE,220,695.0,725.0,782.0,855.0,,,,,,188.1,False
1505,LIT 225kV N0 1 BOISSE (LA) - ST-VULBAS-EST,1.263,8.463,6.067e-05,21.057,,"LINESTRING (5.023123495057105 45.838444542938426, 5.260250697953139 45.797381922578936)",24025291T,823662703,17T000000018110C,RTE,BOISSE (LA),ST-VULBAS-EST,220,900.0,1015.0,1015.0,1112.0,,,,,,244.64,False
1506,LIT 225kV N0 1 BOLLENE-CHATEAUNEUF-DU-RHONE,1.996,10.196,0.000100992,24.939,,"LINESTRING (4.735304465410877 44.30342096243064, 4.709232399507036 44.49552179616459)",148059537,104240116,17T000000018155R,RTE,BOLLENE (POSTE RESEAU),CHATEAUNEUF-DU-RHONE,220,816.0,889.0,889.0,947.0,,,,,,208.34,False
1507,LIT 225kV N0 1 BOLLENE-TERRADOU,3.767,17.664,0.000123036,43.937,,"LINESTRING (4.735304465410877 44.30342096243064, 5.045178673290791 44.034874905847765)",148059537,183818442,17T000000018158L,RTE,BOLLENE (POSTE RESEAU),TERRADOU,220,816.0,889.0,889.0,947.0,,,,,,208.34,False
1508,LIT 225kV N0 1 BOLLENE-TRICASTIN-POSTE (LE),0.325,2.172,1.5584e-05,5.56,,"LINESTRING (4.735304465410877 44.30342096243064, 4.715014039217039 44.32943108739138)",148059537,11278540T,17T000000018159J,RTE,BOLLENE (POSTE RESEAU),TRICASTIN-POSTE (LE),220,1062.0,1160.0,1160.0,1238.0,,,,,,272.36,False
1509,LIT 225kV N0 1 BONNEAU-ORANGERIE (L),2.124,14.107,0.000102436,35.413,,"LINESTRING (0.3938835328312007 46.598490731575886, 0.5767065154289006 46.84478261567661)",115476080,152120009,17T000000018195F,RTE,BONNEAU,ORANGERIE (L),220,1012.0,1150.0,1150.0,1247.0,,,,,,274.34,False
1510,LIT 225kV N0 1 BONNEAU-VALDIVIENNE,1.656,10.454,8.473000000000001e-05,27.611,,"LINESTRING (0.3938835328312007 46.598490731575886, 0.648894860355023 46.46572161955537)",115476080,105690676T,17T000000018196D,RTE,BONNEAU,VALDIVIENNE,220,1180.0,1310.0,1310.0,1390.0,,,,,,305.8,False
1511,LIT 225kV N0 1 BONNIERES - MEZEROLLES,1.702,11.349,8.1964e-05,28.492,,"LINESTRING (1.5592797339665716 49.02249122069813, 1.741466529809091 48.93301538081492)",92316708,89034196T,17T000000018237P,RTE,BONNIERES,MEZEROLLES,220,1172.0,1285.0,1285.0,1388.0,,,,,,305.36,False
1512,LIT 225kV N0 1 BOUDEYRE-CHATEAUNEUF-DU-RHONE,2.433,11.463,8.0012e-05,28.383,,"LINESTRING (4.372992246232014 44.57549248619699, 4.709232399507036 44.49552179616459)",135727900,104240116,17T000000018353N,RTE,BOUDEYRE,CHATEAUNEUF-DU-RHONE,220,862.0,928.0,928.0,987.0,,,,,,217.14,False
1513,LIT 225kV N0 1 BOUDEYRE-MONTPEZAT,1.724,7.671,5.3432e-05,19.1,,"LINESTRING (4.372992246232014 44.57549248619699, 4.229479123245932 44.702687014724006)",135727900,440538762,17T000000018354L,RTE,BOUDEYRE,MONTPEZAT,220,862.0,928.0,928.0,987.0,,,,,,217.14,False
1515,LIT 225kV N0 1 BOURGUIGNON - ETUPES,1.431,5.598,3.8924e-05,13.832,,"LINESTRING (6.775659659715733 47.421480991222246, 6.847868776808244 47.50738282361748)",490191058,89158123,17T0000000191107,RTE,BOURGUIGNON,ETUPES,220,791.0,853.0,853.0,934.0,,,,,,205.48,False
1516,LIT 225kV N0 1 BOURGUIGNON - MAMBELIN,1.143,4.789,3.3694e-05,11.881,,"LINESTRING (6.775659659715733 47.421480991222246, 6.663591631876476 47.36726218345579)",490191058,39389229T,17T0000000191115,RTE,BOURGUIGNON,MAMBELIN,220,791.0,853.0,853.0,934.0,,,,,,205.48,False
1517,LIT 225kV N0 1 BOUTRE - TRANS,1.02,10.4,0.004902,64.661,,"LINESTRING (5.83230924946302 43.69090243594689, 6.475146630571678 43.51007304351553)",100087916T,121297422T,17T000000018431T,RTE,BOUTRE,TRANS,220,1250.0,1250.0,1600.0,1600.0,,,,,,352.0,False
1518,LIT 225kV N0 1 BOUTRE-COUDON (LE),1.641,17.352,0.00026325599999999996,63.4,,"LINESTRING (5.83230924946302 43.69090243594689, 5.972760022936391 43.157823100624434)",100087916T,150329778,17T000000018427K,RTE,BOUTRE,COUDON (LE),220,2200.0,2300.0,2300.0,2400.0,,,,,,528.0,False
1519,LIT 225kV N0 1 BOUTRE-SAINTE-TULLE 1,0.705,5.573,3.72e-05,13.295,,"LINESTRING (5.83230924946302 43.69090243594689, 5.7748070462918974 43.78355668306803)",100087916T,121499607,17T000000018430V,RTE,BOUTRE,STE-TULLE,220,1144.0,1249.0,1249.0,1333.0,,,,,,293.26,False
1520,LIT 225kV N0 1 BRAILLY-CORNEHOTTE - SORRUS,2.769,12.603,8.7356e-05,30.947,,"LINESTRING (1.967825748654061 50.23634274716501, 1.7217730643993516 50.4556895553581)",219639224,147580996,17T000000016790B,RTE,BRAILLY-CORNEHOTTE,SORRUS,220,865.0,865.0,865.0,865.0,,,,,,190.3,False
1521,LIT 225kV N0 1 BRENNILIS-MARTYRE (LA),1.762,12.128,8.936199999999999e-05,31.072,,"LINESTRING (-3.867477810366308 48.35461226564442, -4.193367303658039 48.44395782659024)",105913481,146695955T,17T000000018547A,RTE,BRENNILIS,MARTYRE (LA),220,1250.0,1312.0,1312.0,1375.0,,,,,,302.5,False
1522,LIT 225kV N0 1 BRENNILIS-PLEYBER-CHRIST,1.297,8.601,6.2594e-05,21.445,,"LINESTRING (-3.867477810366308 48.35461226564442, -3.871901727025839 48.52641023998231)",105913481,147394013,17T0000000185488,RTE,BRENNILIS,PLEYBER-CHRIST,220,1300.0,1350.0,1350.0,1400.0,,,,,,308.0,False
1523,LIT 225kV N0 1 BRENS - PELISSIER,0.979,6.546,4.75e-05,16.576,,"LINESTRING (1.9597922281984563 43.90560138628059, 2.138044628672914 43.95447883637239)",549628132,112925040,17T000000018542K,RTE,BRENS (CNR),PELISSIER,220,831.0,984.0,984.0,1099.0,,,,,,241.78,False
