name,Full Name,EIC_Code,TSO,Maximum Current Imax (A) primary Min,Maximum Current Imax (A) primary Max,Maximum Current Imax (A) primary Fixed,Voltage_level(kV) Primary,Voltage_level(kV) Secondary,r,x,b,g,Taps used for RAO,Theta θ (°),Symmetrical/Asymmetrical,Phase Regulation δu (%),Angle Regulation δu (%),Comment,geometry,bus0,s_nom,bus1
T_33,,,TENNETGMBH,,,,,,0.006845207320856169,0.31326646675628167,-2480.41808,351.83097999999995,,,,,,Added for coherence. Not in the data.,POINT (8.052012197053129 53.33307136740962),1128250707,1608.8160000000003,1128250707TT
T_34,,,TENNETGMBH,,,,,,0.006845207320856169,0.31326646675628167,-2480.41808,351.83097999999995,,,,,,Added for coherence. Not in the data.,POINT (9.344001814589792 53.851777496821136),87722999,442.86000000000007,87722999T
T_35,,,TENNETGMBH,,,,,,0.006845207320856169,0.31326646675628167,-2480.41808,351.83097999999995,,,,,,Added for coherence. Not in the data.,POINT (9.344001814589792 53.851777496821136),87722999,442.86000000000007,87722999TT
443,TR Conneforde/O T422,11TD2T000000033Z,TENNETGMBH,,,631.0,380.0,220.0,0.004203853532404704,0.2725998832262908,-121.80824,177.19742,,,,1.231,,,POINT (8.053944669219414 53.331754625072335),1128250704,239.78,1128250704T
444,TR Conneforde/O T421,11TD2T0000002021,TENNETGMBH,,,1057.0,380.0,220.0,0.0010157844943484537,0.06034705970223572,-2761.8141600000004,552.2825,,,,1.385,,,POINT (8.053944669219414 53.331754625072335),1128250704,401.66,1128250704T
445,TR Conneforde/O T423,11T0-0000-1608-5,TENNETGMBH,,,812.0,380.0,220.0,0.0013417163598651801,0.14875550946331345,-2460.14888,149.34304,,,,1.111,,,POINT (8.053944669219414 53.331754625072335),1128250704,308.56,1128250704T
475,TR Unterweser T421,11TD2T000000206U,TENNETGMBH,,,1048.0,380.0,220.0,0.0012831458417034954,0.06025261149055846,-1530.43632,597.36,,,,1.385,,,POINT (8.4747070839544 53.42865120708027),32076853,398.24,32076853T
478,TR Wuergassen T421,11TD2T0000001975,TENNETGMBH,,,509.0,380.0,220.0,0.006845207320856169,0.31326646675628167,-2480.41808,351.83097999999995,,,,2.011,,,POINT (9.387640755119822 51.64073490727586),274630377,193.42,274630377T
479,TR Wuergassen T422,11TD2T0000001983,TENNETGMBH,,,509.0,380.0,220.0,0.007088201840554234,0.3132612966601179,-2612.7173599999996,325.13902,,,,2.011,,,POINT (9.387640755119822 51.64073490727586),274630377,193.42,274630377T
472,TR Schwandorf VK5,11TD2T000000168C,TENNETGMBH,,,935.0,380.0,220.0,0.0017365606529693217,0.1388376020264565,-1847.9153,761.4078999999999,,,,1.231,,,POINT (12.082217467816522 49.29749516466073),28956649,355.3,28956649T
455,TR Dollern T422,11TD2T000000204Y,TENNETGMBH,,,924.0,380.0,220.0,0.0014126224652540442,0.06902768284347231,-4310.34912,548.80056,,,,1.385,,,POINT (9.501790032393483 53.54281468092611),24502420,351.12,24502420T
456,TR Dollern T421,11TD2T000000044U,TENNETGMBH,,,935.0,380.0,220.0,0.0018069237264283704,0.14409231635237826,-1862.1272999999999,726.2332,,,,1.4,,,POINT (9.501790032393483 53.54281468092611),24502420,355.3,24502420T
457,TR Emden/O T428,11T0-0000-1589-C,TENNETGMBH,,,812.0,380.0,220.0,0.0013481980814104226,0.14864207933627172,-1328.65936,145.0232,,,,1.111,,,POINT (7.244747402876565 53.357115737869314),559702819,308.56,559702819T
458,TR Emden/O T425,11T0-0000-0070-0,TENNETGMBH,,,812.0,380.0,220.0,0.0013741249675913922,0.14783510500388902,-98.12208,153.66288,,,,1.111,,,POINT (7.244747402876565 53.357115737869314),559702819,308.56,559702819T
471,TR Raitersaich VK6,11TD2T000000160S,TENNETGMBH,,,926.0,380.0,220.0,0.001943844492440605,0.1431425485961123,-752.6713199999999,535.56136,,,,1.245,,,POINT (10.84310559580793 49.37870895490465),24705761,351.88,24705761T
459,TR Etzenricht T421,11TD2T000000260O,TENNETGMBH,,,811.0,380.0,220.0,0.0016808358751379065,0.15251476409890324,-136.83192,167.95810000000003,,,,1.111,,,POINT (12.114380926785518 49.6311058498399),29084374,308.18,29084374T
463,TR Irsching VK6,11TD2T000000096B,TENNETGMBH,,,866.0,380.0,220.0,0.002187917831530327,0.1565424820712289,-427.14584,445.24523999999997,,,,1.231,,,POINT (11.58137197036536 48.764893853875456),137602559,329.08,137602559T
476,TR Wahle T421,11TD2T000000191H,TENNETGMBH,,,952.0,380.0,220.0,0.001968155683325962,0.13783171163202124,-1410.50224,634.1652799999999,,,,1.385,,,POINT (10.365338662586126 52.28466156568135),24262656,361.76,24262656T
477,TR Wahle T422,11TD2T000000192F,TENNETGMBH,,,935.0,380.0,220.0,0.0017421896988460456,0.14709541232761045,-1746.6548000000003,655.1732000000001,,,,1.4,,,POINT (10.365338662586126 52.28466156568135),24262656,355.3,24262656T
467,TR Ottenhofen VK6,11TD2T000000146M,TENNETGMBH,,,917.0,380.0,220.0,0.0019198760259427196,0.14194455604660508,-1718.2562599999999,628.27338,,,,1.231,,,POINT (11.868156362309213 48.20680293980998),26245195,348.46,26245195T
468,TR Ottenhofen VK7,11TD2T000000147K,TENNETGMBH,,,952.0,380.0,220.0,0.001846528084918178,0.13598794781070322,-2470.4590399999997,734.73456,,,,1.231,,,POINT (11.868156362309213 48.20680293980998),26245195,361.76,26245195T
435,TR Audorf/S T422,11T0-0000-0019-Y,TENNETGMBH,,,812.0,380.0,220.0,0.0013644023852735286,0.14887218045112782,-93.80224,156.13136,,,,1.111,,,POINT (9.725994440003705 54.28781293047057),35176751,308.56,35176751T
436,TR Audorf/S T421,11TD2T0000000142,TENNETGMBH,,,812.0,380.0,220.0,0.0015718174747212858,0.15105976147264713,-189.7644,151.81152,,,,1.111,,,POINT (9.725994440003705 54.28781293047057),35176751,308.56,35176751T
469,TR Pleinting VK6,11TD2T000000155L,TENNETGMBH,,,952.0,380.0,220.0,0.0016364440513047323,0.1322313135780628,-2050.09392,713.02896,,,,1.25,,,POINT (13.103168324093216 48.66682263363445),24976300,361.76,24976300T
470,TR Pleinting VK7,11TD2T000000156J,TENNETGMBH,,,952.0,380.0,220.0,0.0018354710305174703,0.135031512605042,-2339.86368,698.55856,,,,1.231,,,POINT (13.103168324093216 48.66682263363445),24976300,361.76,24976300T
488,TR / 380-220kV / Neurott / Trafo 401,11TD400000125-TW,TRANSNETBW,,,1506.0,220.0,380.0,0.0005865326572497887,0.050156947965712906,-2290.6570236000002,1509.4276559999998,,0.0,Symmetrical,1.231,,,POINT (8.623206227427875 49.35658185285741),207248812,331.32,207248812T
489,TR / 380-220kV / Neurott / Trafo 402,11TD400000127-TO,TRANSNETBW,,,953.0,380.0,220.0,0.001954216601314409,0.06694096205887226,-1169.205204,532.3457999999999,,0.0,Symmetrical,1.385,,,POINT (8.623206227427875 49.35658185285741),207248812,362.14,207248812T
486,TR / 380-220kV / Eichstetten / Trafo 401,11TD400000041-T7,TRANSNETBW,,,1443.0,380.0,220.0,0.00044439581281686545,0.044437757595652334,-1123.2361062000002,588.423654,,0.0,Symmetrical,1.389,,,POINT (7.751862552442818 48.09640574883001),87653464,548.34,87653464T
T_36,,,TRANSNETBW,,,,,,0.0004508516613779771,0.044933800196958085,-1242.0065502,580.1985540000001,,,,,,Added for coherence. Not in the data.,POINT (8.673717359625059 49.29043940679088),46584363,100.43,46584363T
T_37,,,TRANSNETBW,,,,,,0.0004508516613779771,0.044933800196958085,-1242.0065502,580.1985540000001,,,,,,Added for coherence. Not in the data.,POINT (8.673717359625059 49.29043940679088),46584363,100.43,46584363TT
277,TR 400/225kV 761 MARLENHEIM,17T0000000151555,RTE,1659.0,1803.0,,400.0,225.0,8.319467554076538e-05,0.05879090404880754,,,,,,,,,POINT (7.526452002189226 48.61184902188622),118086309,721.2,118086309T
278,TR 400/225kV 762 MARLENHEIM,17T0000000151563,RTE,1659.0,1803.0,,400.0,225.0,0.00011092623405435385,0.061286744315030506,,,,,,,,,POINT (7.526452002189226 48.61184902188622),118086309,721.2,118086309T
279,TR 400/225kV 763 MARLENHEIM,17T0000000151571,RTE,1659.0,1803.0,,400.0,225.0,0.0003050471436494731,0.062257348863006094,,,,,,,,,POINT (7.526452002189226 48.61184902188622),118086309,721.2,118086309T
256,TR 400/225kV 762 HENRI-PAUL,17T000000014135G,RTE,1660.0,1805.0,,400.0,225.0,0.00012049861495844874,0.06308864265927977,,,,,,,,,POINT (4.503745403580134 46.74703277706734),318502246,722.0,318502246T
293,TR 400/225kV 761 MIONS,17T000000015225A,RTE,1659.0,1803.0,,400.0,225.0,0.00019412090959511924,0.05879090404880754,,,,,,,,,POINT (4.9755449516845 45.67434685130105),24020441,721.2,24020441T
294,TR 400/225kV 762 MIONS,17T0000000152268,RTE,1659.0,1803.0,,400.0,225.0,0.00019412090959511924,0.05823627287853577,,,,,,,,,POINT (4.9755449516845 45.67434685130105),24020441,721.2,24020441T
295,TR 400/225kV 763 MIONS,17T0000000152276,RTE,1630.0,1803.0,,400.0,225.0,0.0003050471436494731,0.062396006655574036,,,,,,,,,POINT (4.9755449516845 45.67434685130105),24020441,721.2,24020441T
319,TR 400/225kV 761 QUINTES (LES),17T000000015449P,RTE,1659.0,1803.0,,400.0,225.0,0.0002495840266222961,0.05948419301164725,,,,,,,,,POINT (0.2404904628850176 47.88611363822259),86131984,721.2,86131984T
320,TR 400/225kV 762 QUINTES (LES),17T0000000154503,RTE,1660.0,1805.0,,400.0,225.0,0.00015235457063711913,0.058587257617728525,,,,,,,,,POINT (0.2404904628850176 47.88611363822259),86131984,722.0,86131984T
248,TR 400/225kV 761 GAVRELLE,17T0000000142718,RTE,1659.0,1803.0,,400.0,225.0,0.00016638935108153076,0.05851358846367166,,,,,,,,,POINT (2.885346645898012 50.33726372400015),117893799,721.2,117893799T
315,TR 400/225kV 762 PLAINE HAUTE,17T0000000162077,RTE,1659.0,1803.0,,400.0,225.0,0.00013588463671658347,0.05495008319467554,,,,,,,,,POINT (-2.877914311780164 48.4299170843653),86023818,721.2,86023818T
316,TR 400/225kV 763 PLAINE HAUTE,17T000000015330D,RTE,1659.0,1803.0,,400.0,225.0,0.00042983915696062115,0.06350526899611757,,,,,,,,,POINT (-2.877914311780164 48.4299170843653),86023818,721.2,86023818T
309,TR 400/225kV 761 PRAZ-ST-ANDRE,17T000000015322C,RTE,847.0,921.0,,400.0,225.0,0.0002985884907709012,0.18431053203040176,,,,,,,,,POINT (6.583583496070193 45.20533397391433),147132690,368.4,147132690T
338,TR 400/225kV 761 SAUSSET,17T000000014405D,RTE,1659.0,1803.0,,400.0,225.0,0.00037437603993344424,0.05962285080421519,,,,,,,,,POINT (2.5755995914230967 48.976138545298085),188144496,721.2,188144496T
339,TR 400/225kV 762 SAUSSET,17T000000016211G,RTE,1659.0,1803.0,,400.0,225.0,0.00012479201331114806,0.06364392678868552,,,,,,,,,POINT (2.5755995914230967 48.976138545298085),188144496,721.2,188144496T
374,TR 400/225kV 761 VIELMOULIN,17T000000015848B,RTE,839.0,912.0,,400.0,225.0,0.001918859649122807,0.18832236842105263,,,,,,,,,POINT (4.687244564902656 47.326143973596885),179260933,364.8,179260933T
375,TR 400/225kV 762 VIELMOULIN,17T0000000158499,RTE,1659.0,1803.0,,400.0,225.0,0.00034664448141985576,0.06267332224070993,,,,,,,,,POINT (4.687244564902656 47.326143973596885),179260933,721.2,179260933T
