name,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments,CORE-TSO-name,geometry,transformer_dupplicate,v_nom
249845893,5.5440375,50.9078352,BE,ELIA,Point,,BE,380000,,,Y-junction at 14.2 km from the station,AFTAKKING ZUTTENDAAL 380kV,POINT (5.5440375 50.9078352),False,400.0
423389300,4.2305022,51.0228458,BE,ELIA,Point,,BE,380000,,,Y-junction at 15.5 km from the station,AFTAKKING BUGGENHOUT 380kV,POINT (4.2305022 51.0228458),False,400.0
23208935,4.42036284894269,50.94324026572486,BE,ELIA,Polygon,Verbrande Brug,BE,380000;150000,Elias,,,VERBRANDE BRUG,POINT (4.42036284894269 50.94324026572486),False,400.0
87807194,5.0633321252754016,51.10726015525498,BE,ELIA,Polygon,Meerhout,BE,380000;150000,Elia,,,MEERHOUT,POINT (5.0633321252754016 51.10726015525498),False,400.0
1138687359,4.5265341,50.4946937,BE,ELIA,Point,,BE,380000,,,Y-junction at 7.5 km from the station,REPIQUAGE ST-AMAND 380kV,POINT (4.5265341 50.4946937),False,400.0
87772593,4.34753498839775,50.49452828227795,BE,ELIA,Polygon,Courcelles,BE,380000,Elia,,,COURCELLES,POINT (4.34753498839775 50.49452828227795),False,400.0
23175771,4.231652735726668,50.88096343870187,BE,ELIA,Polygon,380kV Bruegel,BE,380000,,,,BRUEGEL,POINT (4.231652735726668 50.88096343870187),False,400.0
457635067,5.4862223313450365,50.93932316871574,BE,ELIA,Polygon,André Dumont,BE,380000;150000,Elia,,,ANDRE DUMONT,POINT (5.4862223313450365 50.93932316871574),False,400.0
121085955,5.506537603202984,49.54942751825487,BE,ELIA,Polygon,Rouvroy,BE,220000,Elia,,,ROUVROY,POINT (5.506537603202984 49.54942751825487),False,220.0
204940265,5.521646542164442,50.61477419123687,BE,ELIA,Polygon,Seraing,BE,220000;70000,Elia,,,SERAING,POINT (5.521646542164442 50.61477419123687),False,220.0
23176013,4.301250328863836,50.8037002287813,BE,ELIA,Polygon,Elia Drogenbos,BE,380000;150000,,,,DROGENBOS,POINT (4.301250328863836 50.8037002287813),False,400.0
92007188,5.662765659211864,49.97563670726449,BE,ELIA,Polygon,Villeroux,BE,220000;70000,,,,VILLEROUX,POINT (5.662765659211864 49.97563670726449),False,220.0
162667041,4.2889248,51.2839075,BE,ELIA,Point,,BE,380000,,,Y-junction at 2.42 km from the station,AFTAKKING LIEFKENSHOEK 380kV,POINT (4.2889248 51.2839075),False,400.0
1094439002,5.5527081,50.5887205,BE,ELIA,Point,,BE,220000,,,Y-junction at 0.4 km from the station,REPIQUAGE SART-TILMAN 220kV,POINT (5.5527081 50.5887205),False,220.0
87779917,3.5373578489353608,51.206653613484974,BE,ELIA,Polygon,380/150kV Eeklo Noord,BE,380000;150000,Elia,,,EEKLO NOORD,POINT (3.5373578489353608 51.206653613484974),False,400.0
25838372,14.529675872639078,50.08409573039229,CZ,CEPS,Polygon,Rozvodna Malešice,CZ,220000;110000;22000,ČEPS;PRE,,,Malesice,POINT (14.529675872639078 50.08409573039229),False,220.0
28478418,14.070761931013587,49.59614708282568,CZ,CEPS,Polygon,Milín,CZ,220000;110000,ČEPS,,,Milin,POINT (14.070761931013587 49.59614708282568),False,220.0
28475691,15.11240582700131,50.65776476965347,CZ,CEPS,Polygon,Bezděčín,CZ,400000;110000;22000,ČEPS,,,Bezdecin,POINT (15.11240582700131 50.65776476965347),False,400.0
28624926,18.507933548503942,49.7856508669776,CZ,CEPS,Polygon,Albrechtice,CZ,400000;110000,ČEPS,,,"Albrechtice, ALBRECHTICE",POINT (18.507933548503942 49.7856508669776),False,400.0
197827799,13.801430394996355,50.583087711058994,CZ,CEPS,Polygon,Chotějovice,CZ,400000;220000;110000;35000;10000,ČEPS,,,Chotejovice,POINT (13.801430394996355 50.583087711058994),False,400.0
28478409,14.503747371337296,50.01798119832701,CZ,CEPS,Polygon,Chodov,CZ,400000;110000;22000,ČEPS;PRE,,,Chodov,POINT (14.503747371337296 50.01798119832701),False,400.0
28099187,13.3273324005706,50.34652938932505,CZ,CEPS,Polygon,Hradec,CZ,400000;220000,ČEPS,,,"Hradec, TR Hradec T402, PST Hradec 1, PST Hradec 2, PST Hradec 3, PST Hradec 4",POINT (13.3273324005706 50.34652938932505),False,400.0
28479110,14.455785375303432,50.63547974652501,CZ,CEPS,Polygon,Babylon,CZ,400000;110000,ČEPS,,,Babylon,POINT (14.455785375303432 50.63547974652501),False,400.0
28626812,17.55962682655818,49.21675906685067,CZ,CEPS,Polygon,rozvodna Otrokovice 400/110 kV,CZ,400000,ceps_cz,,,Otrokovice,POINT (17.55962682655818 49.21675906685067),False,400.0
28349754,13.695452508577215,50.39602262665922,CZ,CEPS,Polygon,Výškov,CZ,400000;220000;110000,ČEPS,,,Vyskov,POINT (13.695452508577215 50.39602262665922),False,400.0
27849030,16.699080878148727,49.11225687192472,CZ,CEPS,Polygon,Sokolnice,CZ,400000;220000;110000;22000,,,,"Sokolnice, TR Sokolnice T401",POINT (16.699080878148727 49.11225687192472),False,400.0
28476742,13.47488579231017,49.77864254329741,CZ,CEPS,Polygon,Chrást,CZ,400000;110000;22000,,,,Chrast,POINT (13.47488579231017 49.77864254329741),False,400.0
28470958,16.668411344090764,49.85869709978398,CZ,CEPS,Polygon,Krasíkov,CZ,400000,ČEPS,,,Krasikov,POINT (16.668411344090764 49.85869709978398),False,400.0
28469397,14.352912820885056,49.158054602520096,CZ,CEPS,Polygon,rozvodna Kočín,CZ,400000;110000,ČEPS,,,Kocin,POINT (14.352912820885056 49.158054602520096),False,400.0
