line_name,eic_code,tso,substation_1,substation_2,voltage_kv
Sechtem - Weissenthurm MITREI,11T0-0000-0844-Y,AMPRION GMBH,Sechtem,Weissenthurm,380.0
Muendelheim - Utfort MUENDL N,11T0-0000-0370-M,AMPRION GMBH,Muendelheim,Utfort,220.0
Muendelheim - Uerdingen MUENDL S,11T0-0000-0368-2,AMPRION GMBH,Muendelheim,Uerdingen,220.0
Y-Hanekenfaehr (-Kottigerhook - Kusenhorst) MUENST,11T0-0000-0643-A,AMPRION GMBH,Hanekenfaehr,Y-Hanekenfaehr,380.0
Y-Kottigerhook (-Hanekenfaehr - Kusenhorst) MUENST,11T0-0000-0669-L,AMPRION GMBH,Kottigerhook,Y-Hanekenfaehr,380.0
Y-Kusenhorst (-Hanekenfaehr - Kottigerhook) MUENST,11T0-0000-0684-S,AMPRION GMBH,Kusenhorst,Y-Hanekenfaehr,380.0
Amelsbueren - Muenster MUNSTR O,11T0-0000-0124-3,AMPRION GMBH,Amelsbueren,Muenster,220.0
Diefflen - Saarwellingen NALBA O,11T0-0000-0223-1,AMPRION GMBH,Diefflen,Saarwellingen,220.0
Diefflen - Saarwellingen NALBA W,11T0-0000-0224-Z,AMPRION GMBH,Diefflen,Saarwellingen,220.0
Buerstadt - Y-Buerstadt NASSAU,11T0-0000-2322-O,AMPRION GMBH,Buerstadt,Y-Limburg,380.0
Koblenz - Y-Buerstadt NASSAU,11T0-0000-2323-L,AMPRION GMBH,Koblenz,Y-Limburg,380.0
Limburg - Y-Buerstadt NASSAU,11T0-0000-2324-I,AMPRION GMBH,Limburg,Y-Limburg,380.0
Sechtem - Weissenthurm NETTE O,11T0-0000-0477-X,AMPRION GMBH,Sechtem,Weissenthurm,220.0
Meckenheim - Weissenthurm NETTE W,11T0-0000-0717-5,AMPRION GMBH,Meckenheim,Weissenthurm,380.0
Ibbenbueren - Westerkappeln NIKE S,11T0-0000-0545-9,AMPRION GMBH,Ibbenbueren,Westerkappeln,220.0
Niederstedem - Rommersheim NIMSTA O,11T0-0000-1631-E,AMPRION GMBH,Niederstedem,Rommersheim,380.0
Sechtem - Siegburg NKASSEL N,11T0-0000-2062-N,AMPRION GMBH,Sechtem,Siegburg,380.0
Norf - St. Peter NORF W,11T0-0000-0496-S,AMPRION GMBH,Norf,St. Peter,220.0
Niederrhein - Walsum NRHEIN W,11T0-0000-0750-A,AMPRION GMBH,Niederrhein,Walsum,380.0
Wehrendorf - Westerkappeln NSACHS N,11T0-0000-0891-N,AMPRION GMBH,,Wehrendorf,380.0
Hanekenfaehr - Wehrendorf NSACHS S,11T0-0000-0641-G,AMPRION GMBH,Hanekenfaehr,Wehrendorf,380.0
St. Huelfe - Wehrendorf OCHSMO O,11T0-0000-2066-B,AMPRION GMBH,St. Huelfe,Wehrendorf,380.0
St. Huelfe - Wehrendorf OCHSMO W,11T0-0000-2067-8,AMPRION GMBH,St. Huelfe,Wehrendorf,380.0
Y-Mettmann (-Ohligs - Opladen) OERKHS O,11T0-0000-1895-5,AMPRION GMBH,Mettmann,Y-Ohligs,380.0
Y-Ohligs (-Mettmann - Opladen) OERKHS O,11T0-0000-1486-Q,AMPRION GMBH,Ohligs,Y-Ohligs,380.0
Y-Opladen (-Mettmann - Ohligs) OERKHS O,11T0-0000-1487-N,AMPRION GMBH,Opladen,Y-Ohligs,380.0
Y-Mettmann (-Ohligs - St Peter) OERKHS W,11T0-0000-1849-D,AMPRION GMBH,Mettmann,Y-Ohligs,380.0
Y-Ohligs (-Mettmann - St Peter) OERKHS W,11T0-0000-1851-X,AMPRION GMBH,Ohligs,Y-Ohligs,380.0
Y-St Peter (-Ohligs - Mettmann) OERKHS W,11T0-0000-1852-U,AMPRION GMBH,St. Peter,Y-Ohligs,380.0
Bollenacker - Sechtem OLEFIN W,11T0-0000-1864-K,AMPRION GMBH,Bollenacker,Sechtem,220.0
