substation,tso,lat,lon,address,found
Heinersdorf,50HERTZ,53.0864484,14.2007918,"Heinersdorf, Schwedt/Oder, Landin, Uckermark, Brandenburg, 16303, Deutschland",True
Helmstedt,TENNETGMBH,52.2087491,11.0030275,"Helmstedt, Landkreis Helmstedt, Niedersachsen, Deutschland",True
Hennigsdorf,50HERTZ,52.6375777,13.2057511,"Hennigsdorf, Oberhavel, Brandenburg, 16761, Deutschland",True
Herbertingen,AMPRION GMBH;TRANSNETBW,48.0600681,9.4346544,"Herbertingen, VVG der Stadt Bad Saulgau, Landkreis Sigmaringen, Baden-Württemberg, 88518, Deutschland",True
Hesseln,AMPRION GMBH,50.5601051,7.3560597,"Hesseln, Leubsdorf, Linz am Rhein, Landkreis Neuwied, Rheinland-Pfalz, 53547, Deutschland",True
Hoepfingen,TRANSNETBW,49.5999517,9.432936,"Höpfingen, GVV Hardheim-Walldürn, Neckar-Odenwald-Kreis, Baden-Württemberg, 74746, Deutschland",True
Hoheneck,AMPRION GMBH,48.9101261,9.205858,"Hoheneck, Ludwigsburg, Landkreis Ludwigsburg, Baden-Württemberg, Deutschland",True
Homburg,AMPRION GMBH,49.3181673,7.3340336,"Homburg, Saarpfalz-Kreis, Saarland, Deutschland",True
Hueffenhardt,TRANSNETBW,49.2908862,9.0827453,"Hüffenhardt, VVG der Gemeinde Haßmersheim, Neckar-Odenwald-Kreis, Baden-Württemberg, 74928, Deutschland",True
Huellen,AMPRION GMBH,53.0300171,7.7300028,"Hüllen - Hällene, Sedelsberg - Seedelsbierich, Saterland - Seelterlound, Landkreis Cloppenburg, Niedersachsen, Deutschland",True
Huntorf,TENNETGMBH,53.1956997,8.3897014,"Huntorf, Kortendorf, Butteldorf, Elsfleth, Landkreis Wesermarsch, Niedersachsen, 26931, Deutschland",True
Husum/N,TENNETGMBH,54.4854137,9.0537941,"Husum, Kreis Nordfriesland, Schleswig-Holstein, 25813, Deutschland",True
Ibbenbueren,AMPRION GMBH,52.2774772,7.7151417,"Ibbenbüren, Kreis Steinfurt, Nordrhein-Westfalen, Deutschland",True
Ingolstadt,TENNETGMBH,48.7630165,11.4250395,"Ingolstadt, Bayern, Deutschland",True
Inhausen,TENNETGMBH,48.1143825,12.5531413,"Inhausen, Wiesmühl an der Alz, Engelsberg, Landkreis Traunstein, Bayern, 84549, Deutschland",True
Irsching,TENNETGMBH,48.7574014,11.5730893,"Irsching, Vohburg an der Donau, Landkreis Pfaffenhofen an der Ilm, Bayern, 85088, Deutschland",True
Isar,TENNETGMBH,48.251073,11.683983,"Isar, Deutschland",True
Itzehoe/W,TENNETGMBH,53.919448,9.5172441,"Itzehoe, Kreis Steinburg, Schleswig-Holstein, 25524, Deutschland",True
Jardelund,TENNETGMBH,54.8256977,9.1996666,"Jardelund, Schafflund, Kreis Schleswig-Flensburg, Schleswig-Holstein, Deutschland",True
Jessen/Nord,50HERTZ,51.7977522,12.962774,"Sekundarschule Jessen-Nord, 9, Straße der Jugend, Jessen (Elster), Wittenberg, Sachsen-Anhalt, 06917, Deutschland",True
KUES Luengenkamp,AMPRION GMBH,,,,False
Karben,TENNETGMBH,50.2313417,8.7717673,"Karben, Wetteraukreis, Hessen, 61184, Deutschland",True
Karlsruhe,TRANSNETBW,49.0068705,8.4034195,"Karlsruhe, Baden-Württemberg, Deutschland",True
KarlsruheWest,TRANSNETBW,,,,False
Karnap,AMPRION GMBH,51.523574,7.0088793,"Karnap, Stadtbezirk V, Essen, Nordrhein-Westfalen, Deutschland",True
Kelsterbach,AMPRION GMBH,50.065151,8.5296632,"Kelsterbach, Kreis Groß-Gerau, Hessen, 65451, Deutschland",True
Kiel/S,TENNETGMBH,54.3227085,10.135555,"Kiel, Schleswig-Holstein, Deutschland",True
Kiel/W,TENNETGMBH,53.1035819,8.2076459,"Kielweg, Kreyenbrück, Oldenburg, Niedersachsen, 26133, Deutschland",True
Klein Ilsede,TENNETGMBH,52.2857548,10.2316776,"Klein Ilsede, Ilsede, Landkreis Peine, Niedersachsen, 31226, Deutschland",True
Klixbuell/S,TENNETGMBH,54.8020784,8.8900168,"Klixbüll, Südtondern, Kreis Nordfriesland, Schleswig-Holstein, Deutschland",True
Klostermansfeld,50HERTZ,51.5841525,11.4933395,"Klostermansfeld, Mansfelder Grund-Helbra, Mansfeld-Südharz, Sachsen-Anhalt, 06308, Deutschland",True
Knapsack,AMPRION GMBH,50.8594256,6.8547678,"Knapsack, Hürth, Rhein-Erft-Kreis, Nordrhein-Westfalen, 50354, Deutschland",True
Koblenz,AMPRION GMBH,50.3533278,7.5943951,"Koblenz, Rheinland-Pfalz, Deutschland",True
Koetz,AMPRION GMBH,48.4044431,10.2897603,"Kötz, Kötz (VGem), Landkreis Günzburg, Bayern, 89359, Deutschland",True
Kork,TRANSNETBW,48.5670016,7.8702056,"Kork, Kehl, Ortenaukreis, Baden-Württemberg, Deutschland",True
Kottigerhook,AMPRION GMBH,52.177984,7.0199199,"Kottigerhook, Epe, Gronau, Kreis Borken, Nordrhein-Westfalen, Deutschland",True
Krempermarsch,TENNETGMBH,53.847233,9.5253082,"Krempermarsch, Kreis Steinburg, Schleswig-Holstein, Deutschland",True
Kriegenbrunn,TENNETGMBH,49.556437,10.9542353,"Kriegenbrunn, Erlangen, Bayern, 91056, Deutschland",True
Kriftel,AMPRION GMBH,50.0850027,8.4707355,"Kriftel, Main-Taunus-Kreis, Hessen, 65830, Deutschland",True
Kruckel,AMPRION GMBH,51.4545841,7.4153998,"Kruckel, Kirchhörde, Hombruch, Dortmund, Nordrhein-Westfalen, 44227, Deutschland",True
Kruemmel,TENNETGMBH,50.5353537,7.7217486,"Krümmel, Selters (Westerwald), Westerwaldkreis, Rheinland-Pfalz, Deutschland",True
