nuts3,hh_mwh,cts_mwh,ind_mwh,total_mwh,total_gwh,population
DEB3J,340397.11796010146,314994.3479630787,482652.6299434271,1138044.0958666073,1138.0440958666072,208749.0
DE40A,338399.56841734354,313145.86928172084,479820.28357683035,1131365.7212758947,1131.3657212758947,207524.0
DE803,335932.3909004513,310862.8094899703,476322.0467991481,1123117.2471895698,1123.1172471895698,206011.0
DEB1B,326622.99470485677,302248.14435374824,463122.1566710659,1091993.295729671,1091.993295729671,200302.0
DE939,326218.5928382413,301873.9217309101,462548.7510392977,1090641.2656084492,1090.6412656084492,200054.0
DEF08,325435.8795480185,301149.6198802556,461438.93368748843,1088024.4331157627,1088.0244331157626,199574.0
DE932,323037.18944402074,298929.93650043727,458037.80592808936,1080004.9318725474,1080.0049318725473,198103.0
DE731,322843.1417741531,298750.3699999625,457762.66370962,1079356.1754837357,1079.3561754837358,197984.0
DED53,322225.1244054142,298178.47333038325,456886.37042558717,1077289.9681613846,1077.2899681613846,197605.0
DEC04,321253.2554033872,297279.13186582056,455508.34721375734,1074040.734482965,1074.040734482965,197009.0
DEF0C,320976.04444643273,297022.6082937137,455115.28690165817,1073113.9396418047,1073.1139396418046,196839.0
DEE0C,320741.23045936564,296805.3177385174,454782.3416961154,1072328.8898939984,1072.3288898939984,196695.0
DE12B,319715.54991863563,295856.18052172224,453328.0185413486,1068899.7489817066,1068.8997489817066,196066.0
DE146,316377.60386637034,292767.3349211185,448595.1099597784,1057740.048747267,1057.740048747267,194019.0
DEF06,314714.33812464547,291228.1934884777,446236.7480871835,1052179.2797003067,1052.1792797003068,192999.0
DE145,313254.9039689163,289877.67232944485,444167.4011499558,1047299.977448317,1047.299977448317,192104.0
DE11A,312455.8841518133,289138.28085690166,443034.46260331705,1044628.627612032,1044.628627612032,191614.0
DEA28,311723.721094917,288460.7568341019,441996.32095547876,1042180.7988844977,1042.1807988844978,191165.0
DE409,310988.29673264397,287780.2148869245,440953.5550686746,1039722.0666882431,1039.722066688243,190714.0
DE238,308829.31257377774,285782.3489488691,437892.3088732672,1032503.970395914,1032.503970395914,189390.0
DE947,308517.85791037604,285494.13717079617,437450.69405202643,1031462.6891331987,1031.4626891331986,189199.0
DEA53,308265.1067437419,285260.2480315223,437092.3155321713,1030617.6703074354,1030.6176703074354,189044.0
DE143,307532.94368684554,284582.7240087226,436054.173884333,1028169.8415799012,1028.1698415799012,188595.0
DE228,307110.6046406621,284191.9028018069,435455.3349382525,1026757.8423807216,1026.7578423807215,188336.0
DEE0B,304004.2112700882,281317.32983202185,431050.74732325925,1016372.2884253693,1016.3722884253693,186431.0
DE71D,300225.98899207247,277821.064440425,425693.5664812964,1003740.6199137939,1003.7406199137939,184114.0
DEE08,300172.17745336937,277771.26868819253,425617.26653835946,1003560.7126799214,1003.5607126799214,184081.0
DE40C,297426.15832683584,275230.1763621463,421723.6573290951,994379.9920180773,994.3799920180772,182397.0
DE256,295660.16146576934,273595.970311607,419219.6319290752,988475.7637064516,988.4757637064516,181314.0
DE935,294689.92311642924,272698.1378092332,417843.9208367283,985231.9817623908,985.2319817623908,180719.0
DEB18,294585.5613443997,272601.56422914594,417695.94518982037,984883.0707633661,984.883070763366,180655.0
DE735,294022.98616705165,272080.972273988,416898.2639682074,983002.2224092471,983.0022224092471,180310.0
DEA54,292534.2002629387,270703.2897955556,414787.29888028675,978024.788938781,978.0247889387811,179397.0
DE931,290208.88952990086,268551.50971423613,411490.2164976199,970250.615741757,970.250615741757,177971.0
DE405,289295.7240246394,267706.4908884726,410195.4295871757,967197.6445002877,967.1976445002878,177411.0
