trafo_id,bus0,bus1,s_nom,type,tap_ratio,phase_shift,num_parallel
31155,37665,37666,4160,"",1,0,1
31156,35082,35083,3580,"",1,0,1
31157,37821,37822,1040,"",1,0,1
31158,39440,39441,550,"",1,0,1
31159,39441,39442,550,"",1,0,1
31160,38825,38826,520,"",1,0,1
31161,37608,37609,520,"",1,0,1
31162,37609,37610,1040,"",1,0,1
31163,35134,35135,520,"",1,0,1
31164,35135,35136,520,"",1,0,1
31165,36192,36193,2080,"",1,0,1
31166,36735,36736,1040,"",1,0,1
31167,34955,34956,260,"",1,0,1
31168,37474,37475,2080,"",1,0,1
31169,35543,35544,1790,"",1,0,1
31170,39471,39472,1060,"",1,0,1
31171,39472,39473,7800,"",1,0,1
31172,39235,39236,780,"",1,0,1
31173,34787,34788,260,"",1,0,1
31174,37692,37693,800,"",1,0,1
31175,36687,36688,520,"",1,0,1
31176,39000,39001,260,"",1,0,1
31177,39001,39002,3120,"",1,0,1
31178,35678,35679,2080,"",1,0,1
31179,34771,34772,3120,"",1,0,1
31180,34772,34773,1790,"",1,0,1
31181,35957,35958,1790,"",1,0,1
31182,38647,38648,1560,"",1,0,1
31183,35672,35673,2080,"",1,0,1
31184,34765,34766,520,"",1,0,1
31185,34766,34767,520,"",1,0,1
31186,35171,35172,1560,"",1,0,1
31187,35172,35173,1560,"",1,0,1
31188,36080,36081,780,"",1,0,1
31189,39493,39494,780,"",1,0,1
31190,35824,35825,1790,"",1,0,1
31191,34957,34958,2600,"",1,0,1
31192,34958,34959,3640,"",1,0,1
31193,36626,36627,1560,"",1,0,1
31194,37854,37855,520,"",1,0,1
31195,35006,35007,520,"",1,0,1
31196,35007,35008,520,"",1,0,1
31197,36100,36101,1790,"",1,0,1
31198,39268,39269,1790,"",1,0,1
31199,37840,37841,3660,"",1,0,1
31200,37841,37842,4680,"",1,0,1
31201,39272,39273,780,"",1,0,1
31202,37813,37814,1560,"",1,0,1
31203,37814,37815,5720,"",1,0,1
31204,37704,37705,520,"",1,0,1
31205,35107,35108,1790,"",1,0,1
31206,38536,38537,260,"",1,0,1
31207,34963,34964,2860,"",1,0,1
31208,34964,34965,6240,"",1,0,1
31209,39195,39196,520,"",1,0,1
31210,37295,37296,260,"",1,0,1
31211,35500,35501,1120,"",1,0,1
31212,37626,37627,1560,"",1,0,1
31213,39146,39147,8950,"",1,0,1
31214,36075,36076,800,"",1,0,1
31215,34916,34917,1560,"",1,0,1
31216,34979,34980,1040,"",1,0,1
31217,35669,35670,520,"",1,0,1
31218,38092,38093,820,"",1,0,1
31219,36110,36111,1560,"",1,0,1
31220,38029,38030,520,"",1,0,1
31221,39313,39314,1040,"",1,0,1
31222,37758,37759,780,"",1,0,1
31223,37759,37760,4160,"",1,0,1
31224,35570,35571,520,"",1,0,1
31225,39407,39408,520,"",1,0,1
31226,36077,36078,1040,"",1,0,1
31227,36078,36079,2080,"",1,0,1
31228,35607,35608,2080,"",1,0,1
31229,39334,39335,1560,"",1,0,1
31230,39238,39239,1560,"",1,0,1
31231,35390,35391,520,"",1,0,1
31232,35391,35392,1560,"",1,0,1
31233,34793,34794,2340,"",1,0,1
31234,34804,34805,1320,"",1,0,1
31235,39135,39136,1040,"",1,0,1
31236,39257,39258,260,"",1,0,1
31237,38667,38668,1040,"",1,0,1
31238,37120,37121,520,"",1,0,1
31239,39396,39397,800,"",1,0,1
31240,34732,34733,1120,"",1,0,1
31241,34874,34875,1040,"",1,0,1
31242,35704,35705,1070,"",1,0,1
31243,34756,34757,1040,"",1,0,1
31244,34757,34758,1040,"",1,0,1
31245,37977,37978,260,"",1,0,1
31246,38137,38138,520,"",1,0,1
