line_id,bus0,bus1,v_nom,parallel_count
2518,36579,4020,220,2
2520,4022,4037,380,2
2521,4032,4031,380,2
2522,36532,2078,380,11
2523,4034,4033,380,2
2524,4033,4032,380,2
2525,4037,4038,380,2
2526,39121,3071,380,2
2527,4031,39121,380,2
2528,4039,34765,110,2
2529,34809,4039,110,3
2532,34794,4051,380,2
2533,36663,4048,380,2
2534,4048,3284,380,2
2536,4051,36663,380,2
2537,4059,4064,110,2
2538,4057,36477,110,2
2539,4064,4062,110,2
2540,4059,35223,110,4
2541,35736,4057,110,2
2542,36583,4062,110,2
2543,4057,4063,110,1
2544,4063,36583,110,2
2545,34884,38270,110,2
2546,38270,35589,110,2
2549,35385,2794,110,4
2550,4108,35449,110,2
2551,2794,4108,110,2
2554,4114,36135,110,2
2555,4109,36569,110,2
2556,4114,4109,110,2
2559,4109,36563,110,2
2560,35331,4114,110,2
2561,35274,4123,220,2
2564,4118,35422,220,2
2565,4118,4125,220,2
2568,4123,4125,220,2
2572,4166,36254,110,3
2573,36786,4166,110,2
2576,35765,4173,110,6
2577,4173,4171,110,2
2578,4171,36541,110,2
2581,5778,5777,380,2
2582,4177,39059,110,2
2583,4183,4177,110,2
2584,4182,4183,110,2
2586,35439,35337,110,2
2587,37279,4199,110,2
2589,4215,4217,220,2
2590,4215,4216,220,1
2593,4217,34843,220,3
2596,34770,4245,380,2
2597,4252,4230,380,2
2603,4242,34773,380,2
2605,4244,4242,380,2
2606,4232,4230,380,2
2608,4236,4234,380,2
2609,37842,4237,380,2
2611,4245,4244,380,2
2614,34773,4252,380,2
2616,4233,4232,380,2
2617,4237,4236,380,2
2618,4234,4233,380,2
2620,4255,4258,110,2
2621,35522,35352,110,2
2622,34771,2006,110,12
2625,36564,4273,220,2
2626,35332,4276,220,2
2628,4276,4273,220,2
2631,4290,35331,110,2
2632,39478,38680,110,2
2633,39478,4287,110,2
2634,4291,37237,110,2
2636,4287,4290,110,2
2638,4291,4287,110,2
2639,4310,36714,110,1
2640,35745,4310,110,2
2643,5283,38119,380,2
2645,35835,5512,110,2
2646,36563,4370,110,2
2647,4370,4371,110,3
2649,35800,4371,110,3
2651,39251,2751,220,4
2659,4415,35857,110,2
2660,36701,4415,110,2
2662,34884,4419,110,2
2664,37062,4442,110,2
2665,4442,4443,110,2
2667,34928,34930,110,6
2668,4443,34928,110,2
2669,35057,4473,380,3
2676,4497,4495,380,3
2678,4498,4497,380,2
2679,36628,4498,380,3
2680,4495,4496,380,2
2683,4496,4490,380,2
2684,4510,37919,110,2
2685,4508,4510,110,2
2686,4508,36563,110,2
2688,4526,4527,110,2
2689,4524,4525,110,2
2690,4525,4526,110,2
2691,4527,4528,110,5
2692,4528,35212,110,4
2693,35329,4555,110,2
2698,36542,4561,110,2
2699,4561,2547,110,2
2701,35628,4587,220,2
2703,4587,34769,220,3
2706,34810,38288,220,3
2707,38592,4593,220,2
2713,4606,36531,220,2
2721,4614,36538,110,4
2722,36541,4614,110,2
2726,36067,4629,380,2
2728,4631,36394,380,2
2731,37815,4637,380,2
2734,4637,4639,380,2
2735,4629,4631,380,2
2736,4627,4628,380,2
2737,4641,4627,380,2
2743,4654,4655,220,2
2751,4664,4659,110,1
2752,4659,35140,110,2
2756,35387,4707,380,2
2759,39305,39347,380,2
2760,39347,4707,380,2
2763,35729,4739,110,2
2764,38181,4733,110,2
2766,38178,4733,110,2
2771,35080,4777,110,2
2773,35243,2072,110,2
2781,36370,4867,110,2
2782,2047,4867,110,2
2783,36776,4869,110,2
2784,4868,4869,110,2
2785,4867,4868,110,2
2786,4870,38279,110,2
2787,4869,4870,110,2
2790,4890,4889,110,2
2791,4892,4893,110,2
2792,39313,35285,110,2
2793,4885,35285,110,2
2794,35412,4893,110,2
2796,4888,4885,110,3
2797,4891,4890,110,2
2798,4891,4892,110,2
2799,4889,4888,110,3
2803,39929,4920,110,2
2804,4924,4928,110,2
2805,4924,4925,110,2
2806,4925,35421,110,2
2811,4898,4896,220,3
2816,35454,4897,220,2
2817,4896,4897,220,2
2818,4898,39322,220,5
2827,4920,4921,110,2
2828,4921,34776,110,2
2830,35421,38217,110,8
2831,35187,35189,380,3
2832,4979,4978,380,2
2835,4977,35159,380,2
2837,36101,4980,380,2
2839,8879,36101,380,2
2840,36087,2106,380,10
2841,4980,4979,380,2
2842,8879,2106,380,4
2843,4978,4977,380,2
2845,38800,4998,110,2
2846,5000,36369,110,2
2847,39119,5000,110,2
2852,35589,5058,110,4
2853,5056,39469,110,6
2854,5056,5058,110,4
2856,35277,5070,220,2
2857,5071,35056,220,2
2860,5070,5071,220,2
2861,35918,38720,110,2
2863,36090,5090,110,2
2866,5089,5090,110,2
2868,36100,5089,110,4
2870,5096,5089,110,4
2871,5090,36088,110,2
2872,36091,5096,110,4
2908,5304,34985,110,2
2909,5524,5525,110,2
2917,38658,35630,110,2
2919,34825,5520,110,2
2921,38150,5520,110,2
2922,6370,34825,110,2
2928,5655,34800,380,3
2955,34957,6024,110,7
2957,35426,5409,110,12
2958,35426,5409,110,12
2960,35426,5409,110,12
