old_bus,new_bus,reason,new_id,voltage
9949,38044,substation_simplification,38044,
9960,36871,substation_simplification,36871,
39276,36871,substation_simplification,36871,
9977,35448,substation_simplification,35448,
16184,38554,substation_simplification,38554,
10009,38554,substation_simplification,38554,
10115,10114,substation_simplification,10114,
10409,36334,substation_simplification,36334,
10963,36334,substation_simplification,36334,
10163,36334,substation_simplification,36334,
11738,36334,substation_simplification,36334,
34906,10166,substation_simplification,10166,
10243,10241,substation_simplification,10241,
10338,34986,substation_simplification,34986,
10340,37225,substation_simplification,37225,
10341,37225,substation_simplification,37225,
34983,10395,substation_simplification,10395,
11130,10453,substation_simplification,10453,
10454,10453,substation_simplification,10453,
36311,10479,substation_simplification,10479,
18035,10494,substation_simplification,10494,
10495,10494,substation_simplification,10494,
36807,10578,substation_simplification,10578,
35451,10746,substation_simplification,10746,
38959,11740,substation_simplification,11740,
12513,11775,substation_simplification,11775,
37770,11775,substation_simplification,11775,
11779,11778,substation_simplification,11778,
35453,11778,substation_simplification,11778,
12707,11778,substation_simplification,11778,
34780,11811,substation_simplification,11811,
38764,11840,substation_simplification,11840,
11843,11842,substation_simplification,11842,
12300,11847,substation_simplification,11847,
37742,11847,substation_simplification,11847,
11908,11909,substation_simplification,11909,
12428,11909,substation_simplification,11909,
35388,11924,substation_simplification,11924,
36694,11994,substation_simplification,11994,
12137,12142,substation_simplification,12142,
36923,12142,substation_simplification,12142,
35180,12140,substation_simplification,12140,
12212,37813,substation_simplification,37813,
28942,37813,substation_simplification,37813,
12245,20145,substation_simplification,20145,
35592,12363,substation_simplification,12363,
12259,12363,substation_simplification,12363,
37434,12325,substation_simplification,12325,
39099,12325,substation_simplification,12325,
12391,12405,substation_simplification,12405,
12402,12403,substation_simplification,12403,
12477,12478,substation_simplification,12478,
12532,12530,substation_simplification,12530,
18299,12531,substation_simplification,12531,
12541,12531,substation_simplification,12531,
12651,12650,substation_simplification,12650,
12678,35712,substation_simplification,35712,
13318,12728,substation_simplification,12728,
38196,12730,substation_simplification,12730,
12740,12739,substation_simplification,12739,
35305,13087,substation_simplification,13087,
36858,13089,substation_simplification,13089,
13206,13213,substation_simplification,13213,
24541,13207,substation_simplification,13207,
31054,35513,substation_simplification,35513,
26164,35513,substation_simplification,35513,
30619,35513,substation_simplification,35513,
13214,35513,substation_simplification,35513,
38003,13450,substation_simplification,13450,
13504,13503,substation_simplification,13503,
13616,13621,substation_simplification,13621,
13618,13621,substation_simplification,13621,
39171,13625,substation_simplification,13625,
13699,13700,substation_simplification,13700,
13804,13805,substation_simplification,13805,
13813,13811,substation_simplification,13811,
14434,35487,substation_simplification,35487,
13815,35487,substation_simplification,35487,
13838,13833,substation_simplification,13833,
23959,13834,substation_simplification,13834,
14817,13937,substation_simplification,13937,
14815,13937,substation_simplification,13937,
13950,35176,substation_simplification,35176,
35164,13961,substation_simplification,13961,
13968,13967,substation_simplification,13967,
14226,13967,substation_simplification,13967,
14227,13967,substation_simplification,13967,
13982,36854,substation_simplification,36854,
34846,13993,substation_simplification,13993,
14127,14126,substation_simplification,14126,
15079,14143,substation_simplification,14143,
36527,14157,substation_simplification,14157,
27564,35368,substation_simplification,35368,
14268,35368,substation_simplification,35368,
14330,14328,substation_simplification,14328,
14342,14339,substation_simplification,14339,
14395,14396,substation_simplification,14396,
38735,14396,substation_simplification,14396,
14400,14399,substation_simplification,14399,
15451,14399,substation_simplification,14399,
16041,14406,substation_simplification,14406,
36825,14415,substation_simplification,14415,
38436,14470,substation_simplification,14470,
19616,37933,substation_simplification,37933,
19617,37933,substation_simplification,37933,
14535,37933,substation_simplification,37933,
18409,37933,substation_simplification,37933,
14538,37933,substation_simplification,37933,
20878,37933,substation_simplification,37933,
14749,14747,substation_simplification,14747,
36780,14909,substation_simplification,14909,
15087,15086,substation_simplification,15086,
15184,15185,substation_simplification,15185,
36753,15185,substation_simplification,15185,
15645,15644,substation_simplification,15644,
15744,15746,substation_simplification,15746,
39612,15920,substation_simplification,15920,
36730,15921,substation_simplification,15921,
36729,15922,substation_simplification,15922,
17872,15939,substation_simplification,15939,
37093,16824,substation_simplification,16824,
15964,15962,substation_simplification,15962,
17252,15973,substation_simplification,15973,
15974,15973,substation_simplification,15973,
38104,15977,substation_simplification,15977,
36500,16039,substation_simplification,16039,
38413,16074,substation_simplification,16074,
16081,16080,substation_simplification,16080,
38024,16096,substation_simplification,16096,
38562,16110,substation_simplification,16110,
16148,16147,substation_simplification,16147,
16169,16168,substation_simplification,16168,
39425,26571,substation_simplification,26571,
37149,16249,substation_simplification,16249,
16551,16288,substation_simplification,16288,
38628,16348,substation_simplification,16348,
16351,35605,substation_simplification,35605,
16357,16358,substation_simplification,16358,
39738,16386,substation_simplification,16386,
16423,16421,substation_simplification,16421,
16436,34825,substation_simplification,34825,
16630,34825,substation_simplification,34825,
16498,17232,substation_simplification,17232,
16499,17232,substation_simplification,17232,
16568,16564,substation_simplification,16564,
25880,37283,substation_simplification,37283,
39474,37283,substation_simplification,37283,
21212,16618,substation_simplification,16618,
35021,16618,substation_simplification,16618,
16663,16657,substation_simplification,16657,
16676,16668,substation_simplification,16668,
38955,16674,substation_simplification,16674,
16683,16682,substation_simplification,16682,
16811,36459,substation_simplification,36459,
16848,38659,substation_simplification,38659,
17098,17099,substation_simplification,17099,
17214,17215,substation_simplification,17215,
17307,17306,substation_simplification,17306,
35313,35312,substation_simplification,35312,
17707,35312,substation_simplification,35312,
39717,35312,substation_simplification,35312,
35413,17724,substation_simplification,17724,
17988,17754,substation_simplification,17754,
17778,17772,substation_simplification,17772,
39141,17835,substation_simplification,17835,
35504,17871,substation_simplification,17871,
18861,17871,substation_simplification,17871,
