unit_id,capacity_kw,lat,lon,mounting_type,voltage_level
SEE932257243926,9980.0,48.438015,7.90272,,MV
SEE997238762049,1909.2,50.971692,12.514146,,MV
SEE940203244170,2230.0,49.64783,11.222791,,MV
SEE944342768597,3599.0,50.934,12.079,,MV
SEE957818135298,1146.0,50.267449,10.202028,,MV
SEE946513385985,2040.0,54.027935,9.4789,,MV
SEE926639205473,1198.86,49.683333,10.633333,,MV
SEE988191534415,4035.0,48.898598,8.353367,,MV
SEE901226350965,2046.0,49.829595,7.110964,,MV
SEE949545961875,1630.2,51.585049,11.451238,,MV
SEE911977940001,3496.95,54.260268,9.279402,,MV
SEE953393305651,1000.0,47.989969,9.120256,,MV
SEE936051345695,2192.0,47.98028,9.113541,,MV
SEE971161695926,1752.0,48.495682,12.124929,,MV
SEE915125431885,1064.88,49.800138,9.796886,,MV
SEE943024640978,6424.0,49.057505,11.289513,,MV
SEE992493147907,3666.18,53.342472,12.2,,MV
SEE971207879815,1260.0,52.523545,14.344281,,MV
SEE989168991262,1432.76,53.342472,12.2,,MV
SEE902104748188,3872.0,49.250814,10.670564,,MV
SEE950284111032,1760.0,53.514,11.083,,MV
SEE980650595913,1122.0,50.325895,8.506612,,MV
SEE919362681430,3744.0,48.239198,11.947417,,MV
SEE974875152686,1065.0,53.194942,13.137926,,MV
SEE966870591706,1260.0,51.085891,10.931064,,MV
SEE951946103761,1020.0,51.097423,11.499986,,MV
SEE955202929362,2744.28,50.198,11.271,,MV
SEE986132957989,4800.0,52.204251,7.618292,,MV
SEE933364141044,2000.0,50.076578,10.548091,,MV
SEE944582995258,1564.56,49.929,6.856,,MV
SEE928027131340,2000.0,50.336,10.787,,MV
SEE991031407787,6960.0,50.291,11.126,,MV
SEE988490734189,8460.0,50.343128,11.838048,,MV
SEE993908821405,1016.0,48.253,10.104,,MV
SEE975329174711,4400.0,52.162778,13.5575,,MV
SEE973024157503,12600.0,53.033333,13.533333,,MV
SEE901886632531,1300.0,47.862264,12.977386,,MV
SEE958582156304,3300.0,47.91139,12.934568,,MV
SEE905040020394,1000.0,50.964,13.036,,MV
SEE945799653733,12600.0,51.605,6.151,,MV
SEE908822629877,6330.0,48.844152,8.119964,,MV
SEE992282880961,4200.0,49.635122,10.175515,,MV
SEE965798783439,2976.6,50.533923,8.413685,,MV
SEE960274318419,2099.0,50.142281,11.710175,,MV
SEE967684821928,2100.0,50.14526,11.743276,,MV
SEE992855940467,2006.16,50.997,11.337,,MV
SEE926969129180,1138.5,50.409521,7.44952,,MV
SEE933530156100,1250.0,51.473742,12.705049,,MV
SEE905806013714,3613.62,51.356227,8.212822,,MV
SEE995047456210,1104.6,51.356166,8.21949,,MV
SEE910053068738,1050.0,51.458335,11.024898,,MV
SEE937850762829,1535.0,50.868,13.439,,MV
SEE917243352219,10800.0,53.033333,13.533333,,MV
SEE979681487137,10800.0,53.033333,13.533333,,MV
SEE946774523102,4800.0,53.201667,12.517222,,MV
SEE988144108915,1250.0,49.083889,11.006389,,MV
SEE935024462674,7380.0,54.230017,9.808189,,MV
SEE981709705741,6000.0,49.343611,10.7325,,MV
SEE968229527886,3200.0,53.201667,12.517222,,MV
SEE942998276824,6400.0,53.201667,12.517222,,MV
SEE990313390342,1760.0,50.377955,11.963939,,MV
SEE959786655143,1379.4,51.623127,11.487464,,MV
SEE904314575509,3063.6,48.428411,8.706548,,MV
SEE934494545610,4800.0,53.201667,12.517222,,MV
SEE934371412233,4800.0,53.201667,12.517222,,MV
SEE924790416387,6350.0,51.756994,14.390363,,MV
SEE979162797335,3003.0,49.95,7.286,,MV
SEE912913436671,4290.0,51.514484,14.390259,,MV
SEE980371589802,7920.0,51.767898,14.292692,,MV
SEE952955183850,2520.0,50.01564,6.614334,,MV
SEE943726530317,3762.0,51.532207,11.953195,,MV
SEE904937836476,2400.0,51.083964,6.715048,,MV
SEE983981156761,2600.0,54.232902,9.099649,,MV
SEE967876131156,1000.0,49.347015,12.132294,,MV
SEE939585627862,7560.0,49.346768,12.132286,,MV
SEE996297952576,2700.0,50.965031,11.266096,,MV
SEE995980758280,2200.0,53.053908,12.339051,,MV
SEE916348425675,3150.0,51.608076,9.634958,,MV
SEE981280211532,1100.0,53.052616,12.341112,,MV
SEE916276877119,3300.0,53.052616,12.341112,,MV
SEE985901390545,3300.0,52.994511,13.99302,,MV
SEE964869837613,1650.0,49.398213,11.946129,,MV
SEE977917271062,3400.0,51.800556,12.921944,,MV
SEE960764458939,1350.0,48.668011,12.106198,,MV
SEE907201908428,2400.8,48.534957,12.069821,,MV
SEE911614487227,1980.0,51.768951,14.382344,,MV
SEE925656308709,6955.98,53.614134,12.43221,,MV
SEE961524344264,1360.0,50.822545,11.225237,,MV
SEE995174702600,2109.0,49.990498,8.383665,,MV
SEE951420043224,1200.0,51.397,6.728,,MV
SEE906445506742,2000.0,49.262754,10.682122,,MV
SEE937385488638,1386.72,53.58,6.714,,MV
SEE904190413209,6400.0,53.201667,12.517222,,MV
SEE981134504247,3200.0,53.201667,12.517222,,MV
SEE962844117071,6400.0,53.201667,12.517222,,MV
SEE961809891674,1075.2,51.172583,11.123075,,MV
SEE916188290495,2318.0,48.176037,10.270498,,MV
SEE974904240025,6400.0,53.201667,12.517222,,MV
SEE946284263703,4800.0,53.201667,12.517222,,MV
SEE997729389489,7320.0,49.747528,10.105898,,MV
SEE948800705445,1086.0,47.741,8.95,,MV
SEE980834934743,2200.0,48.92445,11.46613,,MV
SEE989154722528,7700.0,52.486437,12.333943,,MV
SEE915453210138,3040.0,53.919023,12.07777,,MV
SEE994923624545,2815.0,50.361204,10.921563,,MV
SEE952801472688,1060.0,51.610857,13.693782,,MV
SEE974773791192,1260.0,50.91823,12.7985,,MV
SEE970158990679,6666.0,49.207343,11.781271,,MV
SEE902857772997,1074.0,50.683,12.117,,MV
SEE938332882738,2904.0,49.208208,11.786733,,MV
SEE956936637561,4704.0,53.19328,10.880617,,MV
SEE992340013232,2340.0,50.289479,11.949172,,MV
SEE989026883685,1499.52,49.185816,7.123047,,MV
SEE932380043585,1400.0,51.459587,11.026634,,MV
SEE998919844580,8294.0,50.888206,6.079548,,MV
SEE975547004036,6930.0,51.419587,11.245123,,MV
SEE993736795329,1956.0,51.012965,12.437242,,MV
SEE912382474266,8000.0,52.656146,13.75544,,MV
SEE949813253213,1311.0,51.714167,12.399328,,MV
SEE960967672262,4000.0,47.967596,10.917622,,MV
SEE936743123426,5646.6,50.140746,11.760284,,MV
SEE986735433392,1600.0,48.38001,10.320258,,MV
SEE940591717485,4800.0,49.791944,10.257778,,MV
SEE906114985212,3520.0,50.89014,6.087506,,MV
SEE946377327237,3615.6,49.18065,6.814239,,MV
SEE922965721427,3200.0,52.022497,11.686611,,MV
SEE971514255432,2772.0,49.16319,11.907104,,MV
SEE931991629393,2820.0,49.162037,11.905915,,MV
SEE994553956306,2772.0,49.160664,11.907569,,MV
SEE927755058158,2880.0,50.291707,11.941669,,MV
SEE960221163000,3997.4,50.27946,11.953173,,MV
SEE951845425780,1082.9,48.235749,8.424446,,MV
SEE937378978498,1836.0,48.443432,12.779523,,MV
SEE967477637897,1500.0,51.46,11.28,,MV
SEE967682714253,4930.0,51.252,12.135,,MV
SEE942112278789,8820.0,52.61,14.221,,MV
SEE978133160406,1248.0,52.671629,7.933308,,MV
