bus_id,v_nom,lat,lon,is_substation,substation_name,osm_substation_id
5850,220,51.3539352,6.723889700000001,0,Unnamed,
2631,110,51.3600976,6.725351900000001,0,Unnamed,
5739,110,51.3441236,6.7203317,0,Unnamed,
38060,110,50.36622642129844,11.136464058162534,1,Mürschnitz,162914634
38212,110,50.8019011004612,11.570529038073577,1,Kahla,175055679
35032,380,49.97885035026762,11.106891298750483,1,Umspannwerk Würgau,24757393
37167,110,50.16430535132998,11.191280935388148,1,Unnamed,102288092
37029,380,50.183709021310115,11.810849310920407,1,Umspannwerk Mechlenreuth,93341407
36524,110,50.9845874013259,10.27586541851814,1,Unnamed,61564984
39079,110,51.01091759516136,11.623119345569437,1,Unnamed,766015937
39941,110,50.943448999259346,11.603257249999997,1,Jena Nord,243104305
40357,110,52.45742420744513,13.151522561048838,1,Umspannwerk Kladow,48216209
40356,110,52.418118299091006,13.1479241,1,Unnamed,2138055449
35380,110,52.63262225215252,13.468507712635157,1,Umspannwerk Buch,29051015
37920,110,51.220931419765186,7.215859571736492,1,Station Ronsdorf,156398578
36704,110,51.250259672778924,7.094417552932941,1,Station Möbeck,87335336
40122,110,51.259869632980674,7.149324068509355,1,Unnamed,1112787777
35439,110,51.291308368790226,7.0243847195176174,1,Station Prangenhaus,29425014
35049,110,51.26061129810626,6.625829004351698,1,Station Osterath,24799890
5231,110,51.453347,6.3259135,0,Unnamed,
19030,380,51.8647525,6.4502274,0,Unnamed,
1896,110,51.7469769,6.4916754,0,Unnamed,
2867,110,51.452818,6.8812747000000005,0,Unnamed,
5836,110,51.175954100000006,8.2136946,0,Unnamed,
18491,380,51.4102272,7.448805800000001,0,Unnamed,
26483,110,50.600506700000004,8.4645255,0,Unnamed,
13136,380,50.167015000000006,9.116496900000001,0,Unnamed,
5841,110,51.3343798,8.4164445,0,Unnamed,
5846,110,51.341868500000004,8.4860025,0,Unnamed,
39902,220,51.52109600295139,6.730803805417802,1,Station Aldenrade,839516063
36610,110,51.34251628367121,6.822428660748749,1,Station Lintorf,73968154
36297,220,51.12493154312898,6.801901926183781,1,Station Sankt Peter 220 kV,49577401
36301,380,51.122741406475456,6.8009265676694355,1,Station Sankt Peter 380 kV,49577448
36299,110,51.122741406475456,6.8009265676694355,1,Station Sankt Peter 380 kV,49577448
37063,380,51.03594909098502,6.61236591482223,1,KW Neurath,95434457
35326,110,51.60239142285865,6.3762861318972055,1,Station Sonsbeck,28427644
39862,110,51.45564751934372,6.385870947607178,1,Umspannwerk Kerken,906969047
37318,110,51.823863304507995,6.613905730734509,1,Station Bocholt,111951593
35154,110,51.44457590187463,6.948210986686621,1,Station Rosenblumendelle,26291794
36594,110,51.515039047274236,6.9611938022833915,1,Station Prosper II,70807750
38875,110,51.18149895017053,7.972903183192139,1,Unnamed,460911493
38033,110,51.35424553651554,7.639437098707299,1,Unnamed,159688716
38874,110,50.572902022156825,8.487095387778666,1,Dillfeld,460253695
35545,110,50.457534113223645,8.32246908642791,1,110/20kV UW Essershausen,31024388
34900,110,50.20356237161775,8.809949180074577,1,Umspannwerk Karben,24042358
36754,110,50.35551390823567,8.808738511008128,1,Unnamed,88035681
