unit_id,capacity_mw,fuel_type,commissioning_date,lat,lon
SEE956410671531,0.00075,Erdgas,2018-10-29,,
SEE911959071914,0.00075,Erdgas,2018-09-06,,
SEE935378977749,0.005,Erdgas,2015-04-08,,
SEE961257563604,0.00075,Erdgas,2018-11-14,,
SEE924078257145,0.00075,Erdgas,2018-08-08,,
SEE945010943964,0.0152,Erdgas,2010-02-19,,
SEE988566590114,0.00075,Erdgas,2018-12-11,,
SEE966668869222,0.00075,Erdgas,2018-10-10,,
SEE995922617316,0.0007,Erdgas,2018-12-13,,
SEE929984747001,0.198,Mineralölprodukte,2017-09-20,48.822403,10.031844
SEE986598789513,0.092,Erdgas,2016-12-21,53.367499,7.181843
SEE935527942918,0.0055,Erdgas,2015-11-26,,
SEE915179280538,0.00075,Erdgas,2018-10-22,,
SEE974228581729,0.022,Erdgas,2013-12-20,,
SEE989460679929,0.0055,Erdgas,2010-08-01,,
SEE959891582129,0.0053,Mineralölprodukte,2019-01-22,,
SEE981573299810,0.0055,Erdgas,2015-06-26,,
SEE930670161230,0.003,andere Gase,2010-12-13,,
SEE973561900792,0.112,Erdgas,2013-07-11,53.176,8.613
SEE949339411524,1.2,Erdgas,2017-08-10,54.04902,9.98579
SEE921631681225,0.00542,Mineralölprodukte,2019-01-03,,
SEE998778600532,4.41,Erdgas,2018-10-01,50.042305,12.032874
SEE954228043731,0.0055,Erdgas,2011-09-20,,
SEE959871275867,0.014,Erdgas,2014-10-21,,
SEE918529834818,0.07,Erdgas,2016-10-04,51.954,14.66
SEE929805130890,0.02,Erdgas,2018-02-13,,
SEE948959407115,0.0055,Erdgas,2017-12-06,,
SEE994100484313,0.038,Erdgas,2013-11-04,48.946,9.448
SEE993216207182,0.00076,Erdgas,2018-09-28,,
SEE973805289423,0.00075,Erdgas,2018-12-18,,
SEE900588408451,0.0047,Erdgas,2018-03-05,,
SEE955930937905,0.00075,Erdgas,2017-09-15,,
SEE924579247706,0.048,Erdgas,2009-02-19,49.723,7.379
SEE955420968853,0.0055,Erdgas,2009-10-05,,
SEE996748150810,0.2925,Mineralölprodukte,2003-08-18,49.769,8.478
SEE995228461880,0.011,Erdgas,2009-07-22,,
SEE950985446082,1.1,Erdgas,2009-10-23,51.422,8.35
SEE949970706041,0.0747,Mineralölprodukte,1991-11-15,49.769,8.478
SEE964858702199,0.3375,Mineralölprodukte,2001-07-17,49.769,8.478
SEE900130768699,0.0055,Erdgas,2015-03-05,,
SEE926055099700,0.001,Erdgas,2015-01-10,,
SEE954086855965,106.0,Mineralölprodukte,1998-06-04,53.092839,14.231664
SEE907715700952,0.02,Erdgas,2014-12-17,,
SEE978172348049,0.0055,Erdgas,2005-01-12,,
SEE913833832956,0.0015,Erdgas,2018-04-27,,
SEE999795836508,0.0055,Erdgas,2011-03-29,,
SEE939434029984,0.00075,Erdgas,2018-12-17,,
SEE968087206527,0.0047,Erdgas,2017-03-17,,
SEE924088656761,0.0047,Erdgas,2014-11-20,,
SEE986625365000,0.0055,Erdgas,2012-06-12,,
SEE910330720229,0.009,Erdgas,2017-06-01,,
SEE908544122106,0.02,Erdgas,2017-05-05,,
SEE992701682602,0.006,Erdgas,2017-06-07,,
SEE909972390655,0.015,Erdgas,2018-03-27,,
SEE997155032799,0.001,Erdgas,2013-01-22,,
SEE946320774545,0.099,Erdgas,2018-10-24,48.142,11.617
SEE901150099312,0.001,Erdgas,2019-01-28,,
SEE919626462027,0.0055,Erdgas,2009-09-10,,
SEE926134134292,0.033,Erdgas,2013-12-23,50.975,7.002
SEE973041849269,0.0053,Mineralölprodukte,2014-04-12,,
SEE944742703518,0.999,Erdgas,2018-12-20,51.347968,11.971952
SEE993935195203,0.0053,Mineralölprodukte,2014-04-12,,
SEE952411812805,0.05,Erdgas,2015-03-16,52.361,13.429
SEE946598268760,0.05,Erdgas,2015-07-02,51.361,6.94
SEE914049595918,0.0075,andere Gase,2017-10-11,,
SEE944599376927,0.0085,Erdgas,2019-01-24,,
SEE935850768599,0.001,Erdgas,2018-08-22,,
SEE944178144480,0.238,Erdgas,2018-02-16,52.447,9.753
SEE992383634746,0.1,Erdgas,2018-11-05,53.620439,9.901535
SEE948765283439,0.071,Erdgas,2018-07-27,52.342004,10.659275
SEE915891471504,0.05,Erdgas,2018-10-09,48.139,11.619
SEE908607092865,0.05,Erdgas,2017-12-20,50.941,6.888
SEE941613599348,0.0485,Erdgas,2018-06-19,51.726,10.617
SEE944022325737,0.02,Erdgas,2017-08-17,,
SEE915895617373,0.033,Erdgas,2018-09-17,50.977,7.0
SEE923037583486,0.066,Erdgas,2019-01-08,48.895,10.0
SEE995545227176,0.001,Erdgas,2015-12-23,,
SEE914829471067,0.0055,Erdgas,2018-11-29,,
SEE993887154266,0.0499,andere Gase,2015-10-30,49.909,8.574
SEE909971539871,0.015,Erdgas,2016-06-06,,
SEE973718693119,0.00075,Erdgas,2018-07-10,,
SEE900882158267,0.019,Erdgas,2018-06-27,,
SEE924114287266,0.0054,Erdgas,2009-11-30,,
SEE967078697139,0.006,Erdgas,2016-12-01,,
SEE994673967152,0.0047,Erdgas,2011-10-01,,
SEE986601604406,0.0085,Erdgas,2016-09-01,,
SEE924003647980,0.02,Erdgas,2018-05-22,,
SEE915886031201,0.006,Erdgas,2019-01-24,,
SEE986585038129,0.04,Erdgas,2015-04-08,53.635,9.916
SEE907389779292,840.0,Braunkohle,2000-10-01,51.419203,14.567034
SEE964961840818,0.0053,Mineralölprodukte,2009-08-07,,
SEE913866998292,0.003,Erdgas,2018-02-21,,
SEE986084121070,0.0055,Erdgas,2010-10-01,,
SEE921304287976,0.02,Erdgas,2015-07-30,,
SEE986610579849,0.0053,Mineralölprodukte,2014-10-29,,
SEE972679761936,0.019,Erdgas,2016-10-20,,
SEE933533361839,0.04,Erdgas,2019-05-16,53.605,9.9
SEE962763567056,0.019,Erdgas,2013-05-04,,
SEE975199350666,0.3,Erdgas,2018-07-18,53.681,10.235
SEE915742387329,0.02,Erdgas,2017-05-19,,
SEE959746828037,0.04,Erdgas,2015-10-09,53.541,10.114
SEE938552442132,0.019,Erdgas,2016-02-01,,
SEE921148430842,0.00075,Erdgas,2018-11-05,,
SEE979849218672,0.1373899999999999,Erdgas,2011-12-21,52.493733,9.466691
SEE953148742366,0.14,Erdgas,2016-07-05,51.599,13.303
SEE971868168648,0.02,Erdgas,2015-12-22,,
SEE938712509583,0.04,Erdgas,2016-08-24,53.445837,9.990696
SEE936977965465,0.39,Mineralölprodukte,1992-07-02,52.459966,9.698304
SEE966243597915,0.07,Erdgas,2013-05-15,52.218,8.31
SEE913028776584,0.0055,Erdgas,2007-05-23,,
SEE959958410549,0.02,Erdgas,2015-02-18,,
SEE953545885635,0.0007,Erdgas,2019-01-03,,
SEE981614128239,0.04,Erdgas,2018-12-21,53.611337,10.117982
SEE924644358641,0.0055,Erdgas,2015-11-26,,
SEE921910803430,0.009,Erdgas,2016-08-11,,
SEE938865767182,0.0152,Erdgas,2011-11-15,,
SEE924482477337,0.0055,Erdgas,2016-11-29,,
SEE906933391157,0.00075,Erdgas,2018-12-07,,
SEE963455838607,0.00075,Erdgas,2018-12-12,,
SEE960943465468,0.07,Erdgas,2010-08-12,53.246,10.461
SEE930129660741,0.006,Erdgas,2016-07-14,,
SEE968240901450,0.234652,Erdgas,2013-02-22,52.307518,9.798589
SEE980823411521,0.00538,Erdgas,2003-11-05,,
SEE915864707340,0.6,Erdgas,2010-07-21,47.797,10.151
SEE901170154824,0.00075,Erdgas,2018-08-10,,
SEE955705107908,0.02,Erdgas,2014-06-30,,
SEE961782355910,0.006,Erdgas,2016-08-23,,
SEE928056733508,0.03,Erdgas,2018-05-28,,
SEE941447458811,0.234652,Erdgas,2013-04-02,52.496541,9.862473
SEE932264912815,0.1,Erdgas,2017-03-23,51.322883,7.319985
SEE904463646334,0.00075,Erdgas,2018-10-08,,
SEE943080644316,0.6,Erdgas,2015-10-20,49.579515,10.902482
SEE991425711964,0.234652,Erdgas,2013-02-27,52.379785,9.983176
SEE912028872418,0.02,Erdgas,2018-04-25,,
SEE964451285938,0.23562,Erdgas,2018-10-04,52.391372,9.712516
SEE951185104239,0.14,Erdgas,2009-07-31,48.802,9.175
SEE999181508859,0.23562,Erdgas,2019-10-07,52.391385,9.712503
SEE978452791978,0.234652,Erdgas,2013-03-09,52.304101,9.598803
SEE905462502669,0.005,Erdgas,2019-08-21,,
SEE963899365967,0.00075,Erdgas,2018-05-29,,
SEE985562848645,0.0487999999999999,Erdgas,2013-02-20,52.379834,9.984265
SEE926324371094,0.0007,Erdgas,2018-06-19,,
SEE976809273412,0.05,Erdgas,2015-01-08,52.460876,9.369737
SEE957172802027,0.0487999999999999,Erdgas,2013-11-12,52.304373,9.600612
SEE968044451496,0.0056,Erdgas,2018-11-29,,
SEE970468827672,0.0487999999999999,Erdgas,2013-03-13,52.348769,9.656115
SEE951227741606,0.04,Erdgas,2016-11-15,50.857,7.081
SEE927151759185,0.55,Erdgas,2014-07-22,48.123,11.49
SEE914275314567,0.00075,Erdgas,2018-12-19,,
