ags,name,type,nuts3,area_km2,hh_mwh,cts_mwh,industry_mwh,total_mwh,total_gwh,density_mwh_per_km2
08225068,Neunkirchen,Gemeinde,DE127,15.769850261968195,3264.8715308224446,3021.224401656587,4629.295454151222,10915.391386630254,10.915391386630255,692.1683595788265
07332029,Kindenheim,Gemeinde,DEB3C,8.994102288682877,3264.5586552264426,3020.9348749856586,4628.851824574799,10914.3453547869,10.9143453547869,1213.5002476589834
03355018,Hittbergen,Gemeinde,DE935,14.698859729714027,3263.086298871948,3019.5723959710585,4626.7641551169445,10909.422849959952,10.909422849959952,742.1951804809964
03353022,Königsmoor,Gemeinde,DE933,10.072288384447683,3262.5011078801276,3019.0308759487734,4625.934406695702,10907.466390524602,10.907466390524602,1082.9183969123135
01054070,Koldenbüttel,Gemeinde,DEF07,25.473041442756962,3257.695088404869,3014.5835146433096,4619.119901469588,10891.398504517767,10.891398504517767,427.5656885728752
01057042,Kühren,Gemeinde,DEF0A,16.8585386451493,3255.674232855214,3012.7134692093027,4616.2545092723185,10884.642211336837,10.884642211336837,645.6456541367345
07138061,Rengsdorf,Gemeinde,DEB18,6.933741395159144,3254.523988377542,3011.649063871755,4614.623565609947,10880.796617859245,10.880796617859245,1569.2533075225122
07339011,Dexheim,Gemeinde,DEB3J,5.789492042327095,3253.778739308538,3010.9594304049137,4613.56686916882,10878.305038882272,10.878305038882273,1878.9740031337399
13071012,Blumenholz,Gemeinde,DE80J,41.76050391464558,3253.105257936323,3010.336208836599,4612.611932894789,10876.05339966771,10.87605339966771,260.43874906053117
12060161,Melchow,Gemeinde,DE405,16.64929767172264,3252.2383328453056,3009.533979647898,4611.382710750811,10873.155023244015,10.873155023244015,653.0698914532057
01051074,Meldorf,Stadt,DEF05,21.66304914667759,3252.1230396314454,3009.427290405221,4611.219235298322,10872.76956533499,10.87276956533499,501.9039329005317
01060086,Tarbek,Gemeinde,DEF0D,10.02211027531562,3248.986215055373,3006.524557215417,4606.771498959106,10862.282271229897,10.862282271229896,1083.8318450739475
09571216,Weidenbach,Gemeinde,DE256,21.671100054364537,3247.8742177908703,3005.4955448213973,4605.194786419883,10858.564549032151,10.85856454903215,501.06199139832074
09678157,Michelau i. Steigerwald,Gemeinde,DE26B,14.590908046428629,3246.5398694498663,3004.260774714797,4603.302799966222,10854.103444130886,10.854103444130885,743.894993347423
03256019,Liebenau,Gemeinde,DE927,23.1145792553914,3245.534340257757,3003.3302850146392,4601.8770496192055,10850.741674891604,10.850741674891603,469.4328006148199
09676124,Faulbach,Gemeinde,DE269,11.080432809470464,3244.62361093356,3002.487520565378,4600.585716995337,10847.696848494275,10.847696848494275,978.9957698423775
09773170,Syrgenstein,Gemeinde,DE277,16.650312117652735,3243.332204379594,3001.292487634842,4598.754618150161,10843.379310164597,10.843379310164597,651.2418045706421
07337023,Essingen,Gemeinde,DEB3H,11.510783321298033,3243.0806989534954,3001.0597512703953,4598.398005978832,10842.538456202723,10.842538456202723,941.946186767422
09271126,Hunding,Gemeinde,DE224,14.684173498070574,3241.7682830499352,2999.845276852185,4596.537117757381,10838.150677659503,10.838150677659502,738.0838069696998
07339034,Lörzweiler,Gemeinde,DEB3J,5.764537003425638,3239.7536444604,2997.98098442604,4593.680540652804,10831.415169539243,10.831415169539243,1878.9740031337396
03454030,Lehe,Gemeinde,DE949,17.90064037523969,3233.8335609672777,2992.5026982085283,4585.286392416293,10811.622651592099,10.8116226515921,603.9796579873658
09776130,Weißensberg,Gemeinde,DE27A,7.964937376372649,3232.2386883536624,2991.0268459392196,4583.025005874611,10806.290540167494,10.806290540167494,1356.732643275199
03354008,Gusborn,Gemeinde,DE934,48.48531272441974,3231.6110139836583,2990.4460129401027,4582.135019827577,10804.19204675134,10.80419204675134,222.8343273386743
03357009,Brockel,Gemeinde,DE937,25.16893957447931,3230.848180743495,2989.740107553685,4581.053390606453,10801.641678903632,10.801641678903632,429.1655453714956
03360015,Oetzen,Gemeinde,DE93A,31.089279531375833,3228.908876513413,2987.945527519878,4578.3036308772325,10795.158034910524,10.795158034910525,347.2308846532087
09576453,Forst Kleinschwarzenlohe,Gemeindefreies Gebiet,DE25B,14.164174155951121,3228.7730507489223,2987.8198380064646,4578.111042106679,10794.703930862066,10.794703930862067,762.1131886695024
13071028,Datzetal,Gemeinde,DE80J,41.446840208027105,3228.6711405868314,2987.7255330803528,4577.966542623121,10794.363216290305,10.794363216290305,260.43874906053117
09676158,Stadtprozelten,Stadt,DE269,11.0206252562353,3227.1104864305967,2986.281345652188,4575.753674789642,10789.145506872428,10.789145506872428,978.9957698423776
08337070,Lottstetten,Gemeinde,DE13A,13.324553321458133,3225.183646834105,2984.498300055438,4573.021588794622,10782.703535684166,10.782703535684167,809.2356475709756
13075078,Liepgarten,Gemeinde,DE80N,32.78989679413533,3225.0220336259317,2984.348747534446,4572.792435738264,10782.163216898642,10.782163216898642,328.8257747376349
01058130,Quarnbek,Gemeinde,DEF0B,15.999749139236563,3223.4397245292,2982.8845212061224,4570.548863138413,10776.873108873735,10.776873108873735,673.5651299960294
07138050,Niederwambach,Gemeinde,DEB18,6.8660581147486734,3222.7551572149396,2982.2510410048685,4569.578207991331,10774.58440621114,10.774584406211138,1569.253307522512
09375116,Bach a.d. Donau,Gemeinde,DE238,14.534520189078188,3222.17394581126,2981.7132035865407,4568.7541022697,10772.641251667501,10.772641251667501,741.1762556676957
07132097,Rott,Gemeinde,DEB13,9.805891930840456,3220.9923404640394,2980.6197777428383,4567.078691702736,10768.690809909614,10.768690809909614,1098.1857525923842
09272456,Mauther Forst,Gemeindefreies Gebiet,DE225,24.865398549261833,3219.8454660916086,2979.5584910101384,4565.452526547792,10764.85648364954,10.76485648364954,432.9251534948396
16066022,Fambach,Gemeinde,DEG0B,18.329499114541754,3219.7568255445576,2979.4764654292912,4565.326842190043,10764.560133163892,10.764560133163892,587.2806488543814
16067011,Döllstädt,Gemeinde,DEG0C,13.504338296178064,3219.617059478014,2979.347129666223,4565.1286664240515,10764.09285556829,10.76409285556829,797.0840643569106
09779196,Oberndorf a. Lech,Gemeinde,DE27D,19.148884984479565,3218.752612436719,2978.5471935981604,4563.902957932664,10761.202763967543,10.761202763967544,561.9754242970098
09571222,Wettringen,Gemeinde,DE256,21.474983136168415,3218.4819358723753,2978.2967167774173,4563.519162804107,10760.2978154539,10.7602978154539,501.0619913983207
16074102,Trockenborn-Wolfersdorf,Gemeinde,DEG0J,18.675422692826704,3218.383658813073,2978.2057738270296,4563.379814734964,10759.969247375067,10.759969247375068,576.1566645293661
07133011,Becherbach,Gemeinde,DEB14,10.866749653042065,3216.006782252326,2976.006276114094,4560.009616626435,10752.022674992855,10.752022674992855,989.4423832597364
09774127,Dürrlauingen,Gemeinde,DE278,12.221300546293982,3215.195006184272,2975.2550803496206,4558.85859085829,10749.308677392182,10.749308677392182,879.555218912592
09673134,Höchheim,Gemeinde,DE266,25.256596475208205,3213.8508636426136,2974.011246952866,4556.952717105198,10744.814827700677,10.744814827700676,425.4260798064281
08325071,Eschbronn,Gemeinde,DE135,11.024323679459888,3212.2444756500954,2972.524738661283,4554.6750027874505,10739.444217098828,10.739444217098828,974.1590077864062
03355023,Mechtersen,Gemeinde,DE935,14.468937618706807,3212.04453753595,2972.3397213019257,4554.391508446499,10738.775767284376,10.738775767284377,742.1951804809963
08425019,Bernstadt,Gemeinde,DE145,13.915529317851545,3211.3536078881834,2971.7003535681692,4553.411832080259,10736.465793536612,10.736465793536611,771.545627068841
09577113,Alesheim,Gemeinde,DE25C,20.465152882442357,3210.3078940084133,2970.7326780376325,4551.92910344476,10732.969675490805,10.732969675490805,524.450989305774
09176149,Nassenfels,Gemeinde,DE219,18.555102834560362,3209.3588442967366,2969.8544529313035,4550.583435943127,10729.796733171166,10.729796733171167,578.2666271827965
09775452,Oberroggenburger Wald,Gemeindefreies Gebiet,DE279,5.957175671910769,3207.989040135936,2968.586872961612,4548.641176312147,10725.217089409694,10.725217089409695,1800.386236716362
08235022,Egenhausen,Gemeinde,DE12A,10.098401314038576,3207.691101666271,2968.311168706102,4548.21872624322,10724.220996615593,10.724220996615593,1061.9721541178026
01053111,Schnakenbek,Gemeinde,DEF06,12.870335040786195,3207.5182984822272,2968.151261282059,4547.9737068031545,10723.64326656744,10.72364326656744,833.2062244365923
13073078,Sagard,Gemeinde,DE80L,28.113951879124414,3206.7906388593865,2967.4779046161507,4546.941950621521,10721.210494097057,10.721210494097056,381.3483974146633
08425097,Rammingen,Gemeinde,DE145,13.895079588367786,3206.634325490944,2967.3332564244547,4546.720312263277,10720.687894178676,10.720687894178676,771.545627068841
16064038,Kutzleben,Gemeinde,DEG09,18.28597955276037,3205.666738014856,2966.437876968967,4545.348359871804,10717.452974855627,10.717452974855627,586.1022070998525
16063011,Buttlar,Gemeinde,DEG0P,21.24542060730917,3200.583550396496,2961.7340317101853,4538.140855039801,10700.458437146483,10.700458437146482,503.6595243242748
09777172,Stöttwang,Gemeinde,DE27B,19.854521581699558,3199.9199297334626,2961.11993497724,4537.199900368351,10698.239765079054,10.698239765079053,538.8314052825078
09471207,Viereth-Trunstadt,Gemeinde,DE245,15.723230978660219,3198.3495810006284,2959.666776448341,4534.973286493426,10692.989643942394,10.692989643942393,680.0758481799996
01058001,Achterwehr,Gemeinde,DEF0B,15.87484132332753,3198.2747789915243,2959.597556678721,4534.867223943202,10692.739559613447,10.692739559613447,673.5651299960293
06632007,Hauneck,Gemeinde,DE733,17.767847916467392,3197.3060865618468,2958.701154728879,4533.493704826508,10689.500946117234,10.689500946117233,601.6204661573062
09779112,Amerdingen,Gemeinde,DE27D,19.01098044041839,3195.5721185425014,2957.0965873079886,4531.035093455789,10683.703799306279,10.68370379930628,561.9754242970098
03359007,Bliedersdorf,Gemeinde,DE939,12.407402216968102,3194.645179656784,2956.2388229659814,4529.720777125294,10680.60477974806,10.68060477974806,860.8252229577511
08225064,Neckargerach,Gemeinde,DE127,15.425780650026633,3193.6379387471748,2955.306749288427,4528.292599716138,10677.23728775174,10.677237287751739,692.1683595788265
