bus_id,capacity_mw,plant_count,carrier
35171.0,42.93710299999991,2359,solar
35174.0,0.5641000000000002,42,solar
35177.0,15.663078999999989,1594,solar
35178.0,22.690896000000045,1713,solar
35179.0,8.144559000000001,591,solar
35180.0,18.599231999999997,2022,solar
35181.0,24.590079999999997,2236,solar
35184.0,17.825417999999985,2041,solar
35185.0,5.002903999999995,617,solar
35186.0,23.47403200000001,839,solar
35191.0,7.866547000000001,783,solar
35194.0,49.334012,1281,solar
35195.0,18.927779999999995,1475,solar
35196.0,50.175855000000034,2819,solar
35197.0,38.487405,2444,solar
35198.0,8.023208999999996,914,solar
35200.0,9.451498999999995,1003,solar
35201.0,25.859204999999996,2007,solar
35202.0,7.8323569999999965,774,solar
35203.0,16.855471000000005,777,solar
35204.0,19.28745600000001,2135,solar
35206.0,11.208583000000003,1113,solar
35208.0,3.782553,412,solar
35209.0,5.905774999999996,594,solar
35210.0,34.92501100000001,2751,solar
35211.0,10.734807000000002,367,solar
35212.0,8.964138999999998,527,solar
35214.0,20.38819000000007,2446,solar
35215.0,9.578006000000002,1225,solar
35216.0,9.858045000000006,801,solar
35217.0,11.236596000000002,1056,solar
35219.0,8.370894999999997,731,solar
35221.0,61.611740999999896,1576,solar
35222.0,23.68481099999999,2159,solar
35223.0,15.732143999999998,1803,solar
35225.0,13.660288999999995,1389,solar
35226.0,53.08612399999989,3345,solar
35227.0,9.516765999999995,1350,solar
35230.0,0.9496479999999998,145,solar
35235.0,64.910874,3736,solar
35237.0,75.39005000000004,2934,solar
35238.0,7.851093999999995,1211,solar
35239.0,4.283571000000002,856,solar
35240.0,11.792041000000001,1056,solar
35241.0,6.103977999999993,893,solar
35243.0,1.5037730000000002,113,solar
35244.0,1.4906020000000004,163,solar
35245.0,26.829869000000006,2512,solar
35246.0,36.913723000000005,3479,solar
35247.0,4.481222,286,solar
35248.0,66.58382000000002,4363,solar
35249.0,11.878579999999996,924,solar
35250.0,0.28439099999999984,71,solar
35251.0,18.80254199999999,2690,solar
35252.0,84.54746200000004,8174,solar
35253.0,15.814980999999994,1686,solar
35254.0,32.42536200000001,2677,solar
35256.0,22.717552,2651,solar
35258.0,70.86850700000002,4625,solar
35260.0,3.9392049999999985,164,solar
35261.0,40.04089900000004,2368,solar
35264.0,19.261511000000006,2574,solar
35265.0,41.16769100000005,2534,solar
