line_id,bus0,bus1,r,x,s_nom,length,carrier,num_parallel,b,g,v_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,cables,terrain_factor,v_ang_min,v_ang_max,type,geom,topo
33148,35679,12047,0.86741996,2.50007538,1040.0,15.875953654230477,AC,1.0,2.5577164445211628e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33149,2308,9277,0.3089313816,2.77296374,1790.0,14.314269854660113,AC,1.0,8.09632375587641e-06,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33150,7968,36079,0.0465212758,0.41757375399999996,3580.0,3.5508848862228137,AC,1.0,6.8943449019292285e-06,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33151,40177,40227,0.056241634,0.3028931512,925.0,3.2102371173068462,AC,1.0,4.026782552178687e-05,0.0,380.0,True,925.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33152,2857,37375,0.0395642282,0.35512797399999996,3580.0,3.0019534910713284,AC,1.0,6.20497451585853e-06,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33153,38961,39185,0.25597486300161826,2.2450290364054353,1850.0,19.1220589220057,AC,1.0,3.1086731789599546e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33154,39472,10546,2.29336866,6.609939600000001,1040.0,42.03598069941392,AC,1.0,7.202600504786122e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33155,18230,17970,0.377872779,3.3917805540000003,3580.0,27.172559073903198,AC,1.0,6.138627164106082e-06,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33156,6928,6943,0.488141588,1.40692024,1560.0,13.413506363627857,AC,1.0,3.481553085027052e-05,0.0,220.0,True,1560.0,inf,1.0,0,inf,0.0,9,1.0,-inf,inf,,,
33157,39424,12607,0.0886743794,0.79594002,3580.0,6.316585985694871,AC,1.0,1.3823601028105689e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33158,39130,34959,0.3178755176,2.7986550992,3580.0,25.08431183761448,AC,1.0,3.357124077785625e-05,0.0,380.0,True,3580.0,inf,1.0,0,inf,0.0,6,1.0,-inf,inf,,,
33159,6982,35471,0.8734503299999999,7.840075260000001,3580.0,62.43886619114802,AC,1.0,0.00013562320203542615,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33160,12610,12612,0.35327099,3.170953966,3580.0,25.16510725371316,AC,1.0,3.6916048979800207e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
