egon_line_id,eic_code,jao_name,jao_length_km,path_hops,length_ratio,egon_trafo_id
2467.0,11T0-0000-0246-L,Y-Eiberg (-Bergmannsglueck - Gelsenberg) GLADBK W ,14.713820691105711,2.0,0.909,
2254.0,11T0-0000-0194-C,Bocklemuend - Brauweiler BOCKLE N ,4.717661792063552,1.0,0.904,
13538.0,11T0-0000-0195-9,Bocklemuend - Brauweiler BOCKLE S ,4.717661792063552,1.0,0.904,
33545.0,11T0-0000-0537-7,Wehrendorf - Westerkappeln WIEHEN O ,62.234495598898704,3.0,0.617,
19.0,11T-D2-D7-00002F,Hanekenfaehr - Doerpen/W EWBL,73.05039586943188,5.0,1.087,
32.0,11T0-0000-0617-A,Gronau - Hanekenfaehr GRONAU W ,46.60619286408437,3.0,0.99,
33506.0,11T-D2-D7-00002F,Hanekenfaehr - Doerpen/W EWBL,73.05039586943188,5.0,1.087,
33625.0,11T0-0000-0640-J,Hanekenfaehr - Meppen MEPPEN ,47.28218271947467,3.0,0.992,
33509.0,11T0-0000-0641-G,Hanekenfaehr - Wehrendorf NSACHS S ,74.8063943339702,4.0,0.975,
33507.0,11T0-0000-0642-D,Hanekenfaehr - Westerkappeln BRAMGAU ,60.66825269529796,4.0,0.987,
33853.0,11T0-0000-0927-S,Brauweiler - Rommerskirchen BRAUWL W ,9.72081338927504,1.0,0.9,
7493.0,11T0-0000-0831-A,Rommerskirchen - Sechtem VILLE O ,34.14245197095014,2.0,0.959,
2476.0,11T0-0000-0164-O,Bergmannsglueck - Buescherhof BUER S ,17.413510859267358,2.0,0.682,
4456.0,11T0-0000-0169-9,Y-Bergmannsglueck (-Eiberg - Gelsenberg) GLADBK W ,7.953824610043739,2.0,0.981,
34104.0,11T0-0000-0164-O,Bergmannsglueck - Buescherhof BUER S ,17.413510859267358,2.0,0.682,
33141.0,11T0-0000-0568-T,Buerstadt - Lambsheim BUERST W ,16.84127763980028,1.0,0.936,
1060.0,11T0-0000-0576-V,Y-Buescherhof (-Karnap - Rosenblumendelle) BUESHR W ,5.3492599067419935,2.0,0.9,
12736.0,11T0-0000-0763-Y,Buescherhof - Nordlicht ESSEN W ,14.611097828281546,6.0,0.925,
1058.0,11T0-0000-0576-V,Y-Buescherhof (-Karnap - Rosenblumendelle) BUESHR W ,5.3492599067419935,2.0,0.9,
