class,line_id,bus0,bus1,v_nom,s_nom,length_km,x_ohm,peak_flow_MW,peak_loading,suggested_fix,gen_MW,peak_load_MW,evacuation_MW,n_duplicates,endpoint_has_trafo,pocket_n_buses,pocket_gen_MW,pocket_peak_load_MW,nearest_ehv_bus,nearest_ehv_kv,nearest_ehv_km
D_isolated_gen_load,,200113,,110.0,0.0,0.0,0.0,0.0,0.0,"connect to nearest same-voltage bus via short tie-line, OR move gen/load to the nearest connected bus",2066.662,12.94279956817627,,,,,,,,,
D_isolated_gen_load,,200200,,380.0,0.0,0.0,0.0,0.0,0.0,"connect to nearest same-voltage bus via short tie-line, OR move gen/load to the nearest connected bus",181.8,247.48348999023438,,,,,,,,,
E_overconcentrated_gen_110kv,,200113,,110.0,0.0,0.0,0.0,0.0,0.0,"split aggregated gens across neighbour buses, OR add 380/110 transformer (≥500 MVA)",2066.662,,0.0,,,,,,,,
E_overconcentrated_gen_110kv,,25378,,110.0,0.0,0.0,0.0,0.0,0.0,"split aggregated gens across neighbour buses, OR add 380/110 transformer (≥500 MVA)",676.421257,,780.0,,,,,,,,
E_overconcentrated_gen_110kv,,36106,,110.0,0.0,0.0,0.0,0.0,0.0,"split aggregated gens across neighbour buses, OR add 380/110 transformer (≥500 MVA)",516.4925475,,520.0,,,,,,,,
E_overconcentrated_gen_110kv,,40071,,110.0,0.0,0.0,0.0,0.0,0.0,"split aggregated gens across neighbour buses, OR add 380/110 transformer (≥500 MVA)",628.3405658529412,,560.0,,,,,,,,
E_overconcentrated_gen_110kv,,40118,,110.0,0.0,0.0,0.0,0.0,0.0,"split aggregated gens across neighbour buses, OR add 380/110 transformer (≥500 MVA)",832.7929643846154,,280.0,,,,,,,,
E_overconcentrated_gen_110kv,,40330,,110.0,0.0,0.0,0.0,0.0,0.0,"split aggregated gens across neighbour buses, OR add 380/110 transformer (≥500 MVA)",880.7359511333334,,280.0,,,,,,,,
F_duplicate_buses,,3774,7993,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,24452,28816,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,9631,9632,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,2814,2827,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,7887,8206,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,10334,11071,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,15969,16286,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,5,313,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,8520,9092,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,15952,16824,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,1730,1732,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,19181,19406,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,804,16241,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,6702,13371,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,19720,19725,110.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,12250,12952,220.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,8024,8102,220.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,1267,16915,380.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
F_duplicate_buses,,11885,15354,380.0,0.0,0.0,0.0,0.0,0.0,merge cluster into single bus (same substation),,,,2.0,,,,,,,
