cluster_0,cluster_1,name_0,name_1,voltage_kv,egon_segments,egon_max_cables,egon_circuits,jao_single_hop,jao_multi_hop,jao_total_traversals,diff_vs_single,diff_vs_total,egon_length_km,cables_detail,sh_names,mh_names
osm_66038431,spatial_2833,Station Laer,spatial_2833,220.0,1,3,1,0,2,2,,-1.0,13.3,[3],,Hattingen - Laer LAER W ; Y-Hattingen (-Laer - Poeppinghausen) POEPPI O 
osm_66764943,spatial_11188,Station Wengerohr,spatial_11188,220.0,1,3,1,0,1,1,,0.0,11.5,[3],,Wengerrohr - Weissenthurm KONDLW 
osm_68532663,spatial_342,Umspannwerk Krün,spatial_342,220.0,1,3,1,0,0,0,,,30.7,[3],,
osm_68549340,spatial_36581,Station Bochum,spatial_36581,220.0,1,3,1,0,2,2,,-1.0,0.5,[3],,Bochum - Eiberg BOCHUM W ; Y-Bochum (-Kusenhorst - Poeppinghausen) HOCHLR W 
osm_68549340,spatial_4020,Station Bochum,spatial_4020,220.0,2,3,1,0,1,1,,0.0,0.5,"[3, 3]",,Y-Bochum (-Hattingen - Welper) WELPER O 
osm_698870101,spatial_18491,NA,spatial_18491,380.0,1,3,1,0,0,0,,,0.3,[3],,
osm_698870101,spatial_35564,NA,spatial_35564,380.0,1,3,1,0,0,0,,,1.1,[3],,
osm_699048438,spatial_10705,Erzhausen,spatial_10705,220.0,2,3,1,2,0,2,-1.0,-1.0,10.5,"[3, 3]",Y-Erzhausen (-Erzhausen - Godenau - Hardegsen - Goettingen) 3; Y-Erzhausen (-Erzhausen - Hardegsen - Lehrte) 2,
osm_77694901,spatial_12093,Umspannwerk Altheim,spatial_12093,220.0,2,3,1,0,2,2,,-1.0,0.4,"[3, 3]",,Y-Simbach (-Altheim - St. Peter) 233/230; Y-Simbach (-Altheim - St. Peter) 234/230
osm_77694901,spatial_39155,Umspannwerk Altheim,spatial_39155,220.0,2,3,1,0,2,2,,-1.0,1.3,"[3, 3]",,Altheim - Sittling 219; Altheim - Sittling 220
osm_787840119,spatial_2341,Ruhrzink,spatial_2341,220.0,2,3,1,2,0,2,-1.0,-1.0,3.3,"[3, 3]",Y-Ruhrzink (-Gersteinwerk - Poeppinghausen) CAPPEN N ; Y-Ruhrzink (-Elmenhorst - Poeppinghausen) ELMENH S ,
osm_796306640,spatial_3071,Öchtel,spatial_3071,380.0,2,3,1,0,2,2,,-1.0,35.6,"[3, 3]",,Y-Hanekenfaehr (-Oechtel - Roxel) ROXEL O ; Y-Hanekenfaehr (-Gersteinwerk - Uentrop) UENTRO N 
osm_796306640,spatial_4022,Öchtel,spatial_4022,380.0,1,3,1,0,2,2,,-1.0,45.8,[3],,Y-Roxel (-Hanekenfaehr - Oechtel) ROXEL O ; Y-Hanekenfaehr (-Gersteinwerk - Uentrop) UENTRO N 
osm_802246764,osm_952004951,Göttingen,Hardegsen,220.0,2,3,1,2,0,2,-1.0,-1.0,30.6,"[3, 3]",Goettingen - Hardegsen 3; Hardegsen - Goettingen 1,
osm_802246764,spatial_10007,Göttingen,spatial_10007,220.0,2,3,1,0,0,0,,,12.1,"[3, 3]",,
osm_810315511,osm_952004951,Lamspringe,Hardegsen,380.0,1,3,1,0,0,0,,,45.4,[3],,
osm_810315511,spatial_39318,Lamspringe,spatial_39318,380.0,1,3,1,0,0,0,,,24.4,[3],,
osm_82310607,osm_89215122,Diefflen,Station Saarwellingen,220.0,1,3,1,2,3,5,-1.0,-4.0,1.0,[3],Diefflen - Saarwellingen NALBA O ; Diefflen - Saarwellingen NALBA W ,Diefflen - Uchtelfangen ELLBCH N ; Diefflen - Ensdorf ENSDF N ; Y-Diefflen (-Ensdorf - Uchtelfangen) ENSDF S 
osm_82310607,osm_90109302,Diefflen,UA Obergraben,220.0,2,3,1,0,0,0,,,0.5,"[3, 3]",,
osm_82310607,osm_90109304,Diefflen,UA Dillinger Hütte Mitte,220.0,1,6,2,0,0,0,,,1.2,[6],,
osm_82310607,spatial_10371,Diefflen,spatial_10371,220.0,2,3,1,0,0,0,,,0.4,"[3, 3]",,
osm_82773910,spatial_14059,Umspannanlage Ensdorf,spatial_14059,220.0,1,3,1,0,0,0,,,19.7,[3],,
osm_82773910,spatial_14105,Umspannanlage Ensdorf,spatial_14105,220.0,2,3,1,1,1,2,0.0,-1.0,9.7,"[3, 3]",Y-Ensdorf (-Diefflen - Uchtelfangen) ENSDF S ,Diefflen - Ensdorf ENSDF N 
osm_82773910,spatial_14745,Umspannanlage Ensdorf,spatial_14745,380.0,1,6,2,0,0,0,,,37.9,[6],,
