,mean_loading_pct,max_loading_pct,s_nom,v_nom
29844,14.113813405448719,21.229923076923075,520.0,110.0
29846,2.5948235576923078,4.986203076923077,520.0,110.0
29849,13.283873301282052,20.501747692307692,260.0,110.0
29850,3.1331427717948714,6.308188461538461,260.0,110.0
29852,4.5675867852564105,8.873479615384614,520.0,110.0
29853,4.764105830929487,8.523529038461538,520.0,110.0
29855,20.91558362179487,45.520176923076924,260.0,110.0
29856,18.266660080128204,36.36212923076923,260.0,110.0
29858,3.0489369471153847,4.370113461538462,520.0,110.0
29859,2.9295481490384616,4.370113461538462,520.0,110.0
29861,11.131829951121794,15.701440192307691,520.0,110.0
30023,8.18293200320513,12.299937307692307,260.0,110.0
29868,3.6556434782051284,8.383395769230768,260.0,110.0
29874,2.1512080689102566,3.052996923076923,520.0,110.0
29876,21.82053349358974,33.43991653846154,260.0,110.0
29877,14.122542516025641,23.434418846153847,260.0,110.0
29879,1.0887193442307692,2.096012115384615,520.0,110.0
29880,0.7756629475160257,1.9157908269230768,520.0,110.0
29882,17.69742544871795,26.05666730769231,520.0,110.0
29885,1.030986164423077,3.343379538461538,260.0,110.0
29889,6.028274588141026,9.667121153846155,260.0,110.0
29891,4.645797286858975,6.439156923076923,260.0,110.0
30735,1.4218750892857142,1.8653628571428573,280.0,110.0
29892,7.699681891025641,10.486473076923076,260.0,110.0
29894,7.781434999999999,10.059948076923076,260.0,110.0
29895,6.747571842948719,9.318201923076924,260.0,110.0
29897,5.815792131410256,8.704308076923077,260.0,110.0
29898,9.917553878205128,12.302243461538461,260.0,110.0
29901,4.731970267628205,9.057168461538462,260.0,110.0
29903,3.708357412820513,11.809439999999999,260.0,110.0
29904,3.3952490580128205,10.872480384615384,260.0,110.0
29906,8.067761538461538,11.754043653846153,520.0,110.0
29909,12.331575713141026,17.117552307692307,520.0,110.0
29910,6.8173713942307685,11.115875769230769,520.0,110.0
32960,0.007925238095238095,0.024434285714285717,280.0,110.0
29912,6.462191270833333,9.565811153846154,260.0,110.0
29915,5.989853012820512,11.250910769230769,260.0,110.0
29916,1.0478857979166667,2.326732923076923,260.0,110.0
29918,8.267915212339744,13.559693653846153,520.0,110.0
29919,8.041059991987177,12.168155192307692,520.0,110.0
29921,2.4942974482371794,5.630377692307693,260.0,110.0
29922,2.9052526378205124,5.755878076923077,260.0,110.0
29924,7.847147458173076,23.324294615384616,260.0,110.0
29925,6.324799644871796,19.231606923076924,260.0,110.0
29927,2.746937471153846,4.239183846153846,520.0,110.0
29928,2.485581764423077,4.400463653846154,520.0,110.0
29930,3.565089241987179,4.49527,260.0,110.0
30736,0.13176059523809525,0.40622857142857144,280.0,110.0
29931,10.926018749999999,15.434719615384616,260.0,110.0
29933,0.022355892857142855,0.068925,280.0,110.0
29935,11.271878990384616,21.43787,260.0,110.0
29937,3.2053366538461536,6.611043076923076,260.0,110.0
29938,5.704168262820512,14.118476923076923,260.0,110.0
29940,4.8894225400641025,7.678973653846155,520.0,110.0
29941,0.9907785256410256,2.339002307692308,520.0,110.0
29943,8.00218184775641,21.78604346153846,260.0,110.0
29944,5.743831240280449,18.555962307692308,260.0,110.0
29946,2.2522392777510682,4.397938653846154,1560.0,220.0
29947,2.2522392777510682,4.397938653846154,1560.0,220.0
30737,1.5536356845238093,1.9080039285714285,280.0,110.0
29953,19.75308293269231,40.07231538461538,260.0,110.0
29955,4.418110473557692,15.404516923076923,260.0,110.0
29956,8.986675450320512,19.59297846153846,260.0,110.0
29958,3.3223049187499996,5.6511292307692305,260.0,110.0
29959,3.366343820512821,6.342961923076923,260.0,110.0
29961,9.08353703525641,15.765555,260.0,110.0
29962,8.05982469551282,13.987215769230769,260.0,110.0
29964,0.5572554843942307,1.0627221538461538,260.0,110.0
29965,0.6689847716346154,1.0627221538461538,260.0,110.0
29967,4.323590336538461,7.062184038461538,520.0,110.0
29970,4.8432129790064105,15.417753461538464,260.0,110.0
29971,5.278947386057692,16.845887307692305,260.0,110.0
33252,2.657420186698718,8.010534230769231,520.0,110.0
29974,3.918286136121795,8.353250769230769,260.0,110.0
29978,4.7774879451121794,8.388275961538461,520.0,110.0
29981,7.636091661858974,12.864667692307691,260.0,110.0
29982,4.5097945464743585,8.862195384615385,260.0,110.0
29985,5.745654224358975,8.096119230769231,260.0,110.0
29986,7.387153621794872,9.590449615384616,260.0,110.0
29988,171.3078748397436,200.8606307692308,260.0,110.0
29989,165.65487131410256,192.71346538461538,260.0,110.0
29991,10.706404702048417,18.888525139664804,1790.0,380.0
29992,10.706404702048417,18.888525139664804,1790.0,380.0
29994,19.559697483974357,43.77794615384615,260.0,110.0
29995,7.863221405448718,11.6335,260.0,110.0
33253,3.76165902676282,8.32332019230769,520.0,110.0
29997,2.2886365743108974,4.66276923076923,260.0,110.0
29998,2.0912327282051284,4.379936923076923,260.0,110.0
30002,3.005415775,7.112518846153846,260.0,110.0
30004,5.407745809294872,11.186742692307693,260.0,110.0
30005,9.090126939102566,15.884051153846155,260.0,110.0
30008,1.7056889112179487,4.554083076923077,260.0,110.0
30011,1.3746469583333336,4.027691923076923,260.0,110.0
30014,3.0166827652243593,6.233393846153847,520.0,110.0
30015,2.4624387443910254,5.335938076923076,520.0,110.0
30017,10.684506674679488,26.235332692307693,520.0,110.0
30020,5.443131939102564,8.358500961538462,520.0,110.0
30021,5.527212620192308,8.792582115384615,520.0,110.0
33254,5.83092711204221,11.899187709497209,5370.0,380.0
30026,10.765247900641024,17.507981153846153,260.0,110.0
30027,6.29297721474359,11.744354615384616,260.0,110.0
30029,4.832786891025641,7.090560192307693,520.0,110.0
30030,6.28770669871795,9.100436538461539,520.0,110.0
30032,2.117686971153846,4.022139807692307,520.0,110.0
30033,2.8686084775641025,4.922835576923077,520.0,110.0
30035,7.578393541666666,12.264056153846154,260.0,110.0
30036,12.298147580128207,23.38465461538462,260.0,110.0
30038,3.6351296137339744,10.13611576923077,260.0,110.0
30039,4.629299760576924,8.794481923076923,260.0,110.0
30041,4.907338419871795,8.456686153846153,260.0,110.0
30042,0.8764420333333334,2.086930230769231,260.0,110.0
