bus_id,carrier,n_units,is_aggregated,p_nom_mw,component
819.0,solar,338,True,5.3168384,generator
822.0,biogas,5,True,2.1550000000000002,generator
822.0,solar,658,True,20.574804,generator
823.0,biogas,1,True,0.19999999999999998,generator
823.0,solar,321,True,6.2855300000000005,generator
824.0,biogas,0,True,0.19999999999999998,generator
824.0,onwind,5,False,10.4,generator
824.0,solar,321,True,6.2855300000000005,generator
825.0,biogas,1,True,0.12375,generator
825.0,onwind,5,False,6.0,generator
825.0,solar,197,True,3.55749425,generator
829.0,biogas,0,True,0.12375,generator
829.0,solar,489,True,17.92034225,generator
847.0,biogas,2,True,0.7286666666666667,generator
847.0,solar,427,True,4.417751666666667,generator
850.0,biogas,5,True,1.1406666666666667,generator
850.0,gas,1,False,1.998,generator
850.0,onwind,25,False,42.65,generator
850.0,solar,1957,True,27.32693,generator
853.0,biogas,1,True,0.5680000000000001,generator
853.0,biomass,1,True,0.09,generator
853.0,gas,1,False,1.067,generator
853.0,onwind,10,False,28.0,generator
853.0,solar,1381,True,11.9223535,generator
855.0,onwind,1,False,6.0,generator
855.0,solar,454,True,2.734461,generator
862.0,biogas,1,True,0.39,generator
862.0,solar,377,True,2.4760745,generator
864.0,solar,1200,True,8.803058,generator
892.0,biogas,5,True,1.2265,generator
892.0,solar,408,True,8.393928,generator
894.0,biogas,10,True,3.839,generator
894.0,biomass,1,True,0.004,generator
894.0,solar,431,True,11.172952,generator
895.0,biogas,1,True,0.252,generator
895.0,biomass,1,True,0.06625,generator
895.0,gas,1,False,1.8,generator
895.0,run_of_river,1,False,0.155,generator
895.0,solar,1229,True,19.6514825,generator
896.0,biogas,2,True,0.54,generator
896.0,solar,366,True,8.492341999999999,generator
897.0,biogas,2,True,3.312466666666667,generator
897.0,biomass,0,True,0.08246666666666667,generator
897.0,solar,1044,True,29.186141066666664,generator
900.0,biomass,0,True,0.06625,generator
900.0,solar,582,True,6.6629385,generator
918.0,solar,518,True,5.5770250500000005,generator
926.0,biogas,4,True,1.2866,generator
926.0,onwind,11,False,35.5,generator
926.0,solar,163,True,7.008373199999999,generator
957.0,biogas,2,True,0.929,generator
957.0,onwind,82,False,202.775,generator
957.0,solar,792,True,15.779907999999999,generator
960.0,biogas,2,True,0.556,generator
960.0,onwind,1,False,0.5,generator
960.0,run_of_river,1,False,0.045,generator
960.0,solar,1033,True,19.501482,generator
961.0,solar,221,True,8.528081,generator
978.0,biogas,1,True,1.4538571428571427,generator
978.0,oil,1,False,1.232,generator
978.0,solar,299,True,3.195558342857143,generator
978.0,waste,1,False,27.2,generator
981.0,biogas,1,True,1.4538571428571427,generator
981.0,solar,299,True,3.195558342857143,generator
1009.0,biogas,1,True,0.07352513888888888,generator
1009.0,biomass,1,True,0.044444444444444446,generator
1009.0,solar,389,True,2.8918480902777777,generator
1012.0,biogas,1,True,0.07352513888888888,generator
1012.0,biomass,0,True,0.044444444444444446,generator
1012.0,solar,389,True,2.8918480902777777,generator
1016.0,biogas,1,True,0.3453056338028169,generator
1016.0,biomass,0,True,0.028169014084507043,generator
