carrier,bus,gen_id,annual_dp_up_MWh,annual_dp_dn_MWh
onwind,4733,2038,0.0,-0.0
onwind,4750,2045,0.0,-0.0
onwind,5058,2082,0.0,-0.0
onwind,5088,2086,0.0,-0.0
onwind,5090,2092,0.0,-0.0
onwind,5091,2095,0.0,-0.0
onwind,5195,2117,0.0,-0.0
onwind,5205,2120,0.0,-0.0
onwind,5224,2124,0.0,-0.0
onwind,5226,2128,0.0,-0.0
onwind,5228,2132,0.0,-0.0
onwind,5229,2136,0.0,-0.0
onwind,5231,2140,0.0,-0.0
onwind,5236,2147,0.0,-0.0
onwind,5280,2174,0.0,-0.0
onwind,5316,2182,0.0,-0.0
onwind,5317,2184,0.0,-0.0
onwind,5320,2192,0.0,-0.0
onwind,5324,2196,0.0,-0.0
onwind,5334,2207,0.0,-0.0
onwind,5360,2212,0.0,-0.0
onwind,5399,2231,0.0,-0.0
onwind,5400,2234,0.0,-0.0
onwind,5479,2252,0.0,-0.0
onwind,5480,2255,0.0,-0.0
onwind,5488,2262,0.0,-0.0
onwind,5499,2267,0.0,-0.0
onwind,5500,2270,0.0,-0.0
onwind,5502,2273,0.0,-0.0
onwind,5520,2295,0.0,-0.0
onwind,5565,2328,0.0,-0.0
onwind,5590,2331,0.0,-0.0
onwind,5646,2337,0.0,-0.0
onwind,5836,2403,0.0,-0.0
onwind,5840,2417,0.0,-0.0
onwind,5845,2425,0.0,-0.0
onwind,5870,2432,0.0,-0.0
onwind,5873,2435,0.0,-0.0
onwind,5932,2453,0.0,-0.0
onwind,5938,2457,0.0,-0.0
onwind,5939,2460,0.0,-0.0
onwind,5940,2463,0.0,-0.0
onwind,5954,2473,0.0,-0.0
onwind,5957,2478,0.0,-0.0
onwind,5959,2481,0.0,-0.0
onwind,5967,2485,0.0,-0.0
onwind,5993,2491,0.0,-0.0
onwind,5996,2493,0.0,-0.0
onwind,5997,2495,0.0,-0.0
onwind,5998,2498,0.0,-0.0
onwind,6007,2505,0.0,-0.0
onwind,6008,2508,0.0,-0.0
onwind,6011,2511,0.0,-0.0
onwind,6032,2517,0.0,-0.0
onwind,6033,2521,0.0,-0.0
onwind,6034,2524,0.0,-0.0
onwind,6085,2539,0.0,-0.0
onwind,6087,2543,0.0,-0.0
onwind,6109,2546,0.0,-0.0
onwind,6110,2548,0.0,-0.0
onwind,6124,2552,0.0,-0.0
onwind,6127,2558,0.0,-0.0
onwind,6160,2578,0.0,-0.0
onwind,6192,2590,0.0,-0.0
onwind,6227,2597,0.0,-0.0
onwind,6231,2604,0.0,-0.0
onwind,6320,2617,0.0,-0.0
onwind,6354,2625,0.0,-0.0
onwind,6360,2628,0.0,-0.0
onwind,6379,2638,0.0,-0.0
onwind,6435,2649,0.0,-0.0
onwind,6471,2657,0.0,-0.0
onwind,6527,2665,0.0,-0.0
onwind,6555,2679,0.0,-0.0
onwind,6577,2690,0.0,-0.0
onwind,6583,2695,0.0,-0.0
onwind,6593,2704,0.0,-0.0
onwind,6647,2711,0.0,-0.0
onwind,6693,2718,0.0,-0.0
onwind,6830,2741,0.0,-0.0
onwind,6832,2745,0.0,-0.0
onwind,6834,2750,0.0,-0.0
onwind,7011,2762,0.0,-0.0
onwind,7013,2765,0.0,-0.0
onwind,7084,2792,0.0,-0.0
onwind,7172,2804,0.0,-0.0
onwind,7200,2816,0.0,-0.0
onwind,7201,2819,0.0,-0.0
onwind,7259,2828,0.0,-0.0
onwind,7260,2832,0.0,-0.0
onwind,7261,2836,0.0,-0.0
onwind,7262,2840,0.0,-0.0
onwind,7382,2851,0.0,-0.0
onwind,7589,2866,0.0,-0.0
onwind,7597,2873,0.0,-0.0
onwind,7599,2876,0.0,-0.0
onwind,7601,2881,0.0,-0.0
